[ID],ControllerName,Maxspeed,UnitMovingType,FlyingAltitude,MinimalAltitude,PhysicsConfiguration,CriticalEffectModule,GunMuzzleSpeed,LandingGearOutPhysicalPropertyName,LandingGearSubDepictionName,FrontLandingGearMeshNodeName,BackLandingGearMeshNodeName
43140,MouvementHandlerController,39000,6,65000,13000,153 : 54223 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43148,MouvementHandlerController,52000,6,65000,13000,153 : 54229 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43157,MouvementHandlerController,46800,6,65000,13000,153 : 54235 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43164,MouvementHandlerController,31200,6,26000,5200,153 : 54242 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43171,MouvementHandlerController,52000,6,65000,13000,153 : 54250 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43178,MouvementHandlerController,39000,6,26000,5200,153 : 54257 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43185,MouvementHandlerController,39000,6,65000,13000,153 : 54264 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43192,MouvementHandlerController,39000,6,52000,10400,153 : 54272 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43199,MouvementHandlerController,39000,6,65000,13000,153 : 54279 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43206,MouvementHandlerController,39000,6,26000,5200,153 : 54286 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43213,MouvementHandlerController,52000,6,39000,7800,153 : 54292 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43220,MouvementHandlerController,52000,6,39000,7800,153 : 54298 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43227,MouvementHandlerController,52000,6,26000,5200,153 : 54304 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43234,MouvementHandlerController,52000,6,39000,7800,153 : 54310 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43241,MouvementHandlerController,39000,6,78000,15600,153 : 54316 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43247,MouvementHandlerController,52000,6,78000,15600,153 : 54323 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43257,MouvementHandlerController,52000,6,78000,15600,153 : 54332 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43264,MouvementHandlerController,52000,6,65000,13000,153 : 54340 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43271,MouvementHandlerController,52000,6,65000,13000,153 : 54348 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43278,MouvementHandlerController,52000,6,65000,13000,153 : 54356 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43285,MouvementHandlerController,52000,6,52000,10400,153 : 54364 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43292,MouvementHandlerController,52000,6,52000,10400,153 : 54372 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43299,MouvementHandlerController,52000,6,65000,13000,153 : 54380 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43306,MouvementHandlerController,52000,6,65000,13000,153 : 54388 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43313,MouvementHandlerController,52000,6,52000,10400,153 : 54396 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43320,MouvementHandlerController,52000,6,65000,13000,153 : 54404 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43327,MouvementHandlerController,52000,6,52000,10400,153 : 54412 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43334,MouvementHandlerController,52000,6,52000,10400,153 : 54420 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43341,MouvementHandlerController,52000,6,65000,13000,153 : 54427 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43348,MouvementHandlerController,52000,6,52000,10400,153 : 54435 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43355,MouvementHandlerController,52000,6,65000,13000,153 : 54443 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43363,MouvementHandlerController,52000,6,52000,10400,153 : 54451 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43370,MouvementHandlerController,52000,6,65000,13000,153 : 54459 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43377,MouvementHandlerController,52000,6,52000,10400,153 : 54467 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43384,MouvementHandlerController,52000,6,52000,10400,153 : 54475 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43391,MouvementHandlerController,52000,6,65000,13000,153 : 54483 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43398,MouvementHandlerController,52000,6,65000,13000,153 : 54491 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43405,MouvementHandlerController,52000,6,65000,13000,153 : 54498 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43412,MouvementHandlerController,52000,6,65000,13000,153 : 54505 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43419,MouvementHandlerController,52000,6,52000,10400,153 : 54513 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43426,MouvementHandlerController,52000,6,65000,13000,153 : 54521 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43433,MouvementHandlerController,52000,6,52000,10400,153 : 54529 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43440,MouvementHandlerController,46800,6,52000,10400,153 : 54537 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43447,MouvementHandlerController,46800,6,39000,7800,153 : 54544 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43454,MouvementHandlerController,46800,6,39000,7800,153 : 54550 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43461,MouvementHandlerController,46800,6,65000,13000,153 : 54558 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43469,MouvementHandlerController,46800,6,52000,10400,153 : 54566 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43476,MouvementHandlerController,46800,6,52000,10400,153 : 54574 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43483,MouvementHandlerController,46800,6,65000,13000,153 : 54582 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43491,MouvementHandlerController,46800,6,65000,13000,153 : 54590 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43498,MouvementHandlerController,46800,6,26000,5200,153 : 54597 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43505,MouvementHandlerController,46800,6,52000,10400,153 : 54605 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43512,MouvementHandlerController,46800,6,65000,13000,153 : 54612 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43519,MouvementHandlerController,46800,6,65000,13000,153 : 54620 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43526,MouvementHandlerController,46800,6,65000,13000,153 : 54627 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43533,MouvementHandlerController,46800,6,52000,10400,153 : 54634 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43540,MouvementHandlerController,46800,6,65000,13000,153 : 54641 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43548,MouvementHandlerController,39000,6,65000,13000,153 : 54649 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43555,MouvementHandlerController,39000,6,26000,5200,153 : 54656 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43562,MouvementHandlerController,39000,6,39000,7800,153 : 54664 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43569,MouvementHandlerController,39000,6,65000,13000,153 : 54671 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43576,MouvementHandlerController,52000,6,65000,13000,153 : 54678 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43583,MouvementHandlerController,39000,6,26000,5200,153 : 54685 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43590,MouvementHandlerController,39000,6,39000,7800,153 : 54692 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43597,MouvementHandlerController,39000,6,26000,5200,153 : 54699 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43604,MouvementHandlerController,52000,6,52000,10400,153 : 54707 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43611,MouvementHandlerController,52000,6,52000,10400,153 : 54715 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43618,MouvementHandlerController,52000,6,52000,10400,153 : 54723 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43626,MouvementHandlerController,52000,6,52000,10400,153 : 54731 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43633,MouvementHandlerController,52000,6,65000,13000,153 : 54739 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43640,MouvementHandlerController,39000,6,78000,15600,153 : 54746 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43646,MouvementHandlerController,31200,6,26000,5200,153 : 54752 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43653,MouvementHandlerController,39000,6,52000,10400,153 : 54760 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43660,MouvementHandlerController,39000,6,52000,10400,153 : 54768 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43667,MouvementHandlerController,39000,6,52000,10400,153 : 54776 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43674,MouvementHandlerController,46800,6,52000,10400,153 : 54784 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43681,MouvementHandlerController,39000,6,26000,5200,153 : 54792 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43688,MouvementHandlerController,39000,6,26000,5200,153 : 54799 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43695,MouvementHandlerController,31200,6,26000,5200,153 : 54807 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43702,MouvementHandlerController,46800,6,26000,5200,153 : 54815 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43709,MouvementHandlerController,39000,6,39000,7800,153 : 54822 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43716,MouvementHandlerController,39000,6,26000,5200,153 : 54830 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43723,MouvementHandlerController,39000,6,39000,7800,153 : 54838 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43730,MouvementHandlerController,46800,6,26000,2600,153 : 54845 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43737,MouvementHandlerController,46800,6,26000,2600,153 : 54853 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43744,MouvementHandlerController,46800,6,26000,2600,153 : 54861 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
