[ID],NbFX,MountedWeaponDescriptorList,TargetPositionPhysicalPropertyName,FlyingTimeAndHitPhysicalPropertyName
46045,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46050,1,Collection[2],null,null
46051,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46056,1,Collection[2],null,null
46057,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46062,1,Collection[2],null,null
46063,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46068,1,Collection[2],null,null
46069,1,Collection[1],null,null
46074,1,Collection[2],null,null
46075,1,Collection[1],null,null
46080,1,Collection[2],null,null
46081,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46091,1,Collection[2],null,null
46092,1,Collection[1],null,null
46097,1,Collection[2],null,null
46098,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46103,1,Collection[2],null,null
46104,1,Collection[1],null,null
46109,1,Collection[2],null,null
46110,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46115,1,Collection[2],null,null
46116,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46121,1,Collection[2],null,null
46122,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46127,1,Collection[2],null,null
46128,1,Collection[2],null,null
46133,1,Collection[2],null,null
46134,1,Collection[2],null,null
46208,1,Collection[2],null,null
46209,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46274,1,Collection[2],null,null
46275,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46280,1,Collection[2],null,null
46281,1,Collection[1],null,null
46286,1,Collection[2],null,null
46287,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46292,1,Collection[2],null,null
46293,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46383,1,Collection[2],null,null
46384,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46389,1,Collection[2],null,null
46390,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46481,1,Collection[2],null,null
46482,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46492,1,Collection[2],null,null
46493,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46498,1,Collection[2],null,null
46499,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46504,1,Collection[2],null,null
46505,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46519,1,Collection[2],null,null
46520,1,Collection[1],null,null
46525,1,Collection[2],null,null
46526,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46550,1,Collection[2],null,null
46551,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46573,1,Collection[2],null,null
46574,1,Collection[2],null,null
46585,1,Collection[2],null,null
46586,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46591,1,Collection[2],null,null
46592,1,Collection[1],null,null
46597,1,Collection[2],null,null
46598,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46603,1,Collection[2],null,null
46604,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46609,1,Collection[2],null,null
46610,1,Collection[1],null,null
46615,1,Collection[2],null,null
46616,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46720,1,Collection[2],null,null
46721,1,Collection[1],null,null
46726,1,Collection[2],null,null
46727,1,Collection[2],null,null
46732,1,Collection[2],null,null
46733,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46738,1,Collection[2],null,null
46739,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46744,1,Collection[2],null,null
46745,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46750,1,Collection[2],null,null
46751,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46791,1,Collection[2],null,null
46792,1,Collection[1],null,null
46805,1,Collection[2],null,null
46806,1,Collection[1],null,null
46846,1,Collection[2],null,null
46847,1,Collection[1],null,null
46852,1,Collection[2],null,null
46853,1,Collection[1],null,null
46858,1,Collection[2],null,null
46859,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46871,1,Collection[2],null,null
46872,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46891,1,Collection[2],null,null
46892,1,Collection[1],null,null
46902,1,Collection[2],null,null
46903,1,Collection[1],null,null
46908,1,Collection[2],null,null
46909,1,Collection[2],null,null
46914,1,Collection[2],null,null
46915,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46920,1,Collection[2],null,null
46921,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46926,1,Collection[2],null,null
46927,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46940,1,Collection[2],null,null
46941,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46946,1,Collection[2],null,null
46947,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
46952,1,Collection[2],null,null
46953,1,Collection[1],null,null
46958,1,Collection[2],null,null
46959,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46964,1,Collection[2],null,null
46965,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46970,1,Collection[2],null,null
46971,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46976,1,Collection[2],null,null
46977,1,Collection[1],null,null
47007,1,Collection[2],null,null
47008,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47029,1,Collection[2],null,null
47030,1,Collection[1],null,null
47035,1,Collection[2],null,null
47036,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
47041,1,Collection[2],null,null
47042,1,Collection[1],null,null
47047,1,Collection[2],null,null
47048,1,Collection[1],null,null
47053,1,Collection[2],null,null
47054,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47059,1,Collection[2],null,null
47060,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47069,1,Collection[2],null,null
47070,1,Collection[1],null,null
47075,1,Collection[2],null,null
47076,1,Collection[1],null,null
47096,1,Collection[2],null,null
47097,1,Collection[1],null,null
47111,1,Collection[2],null,null
47112,1,Collection[1],null,null
47153,1,Collection[2],null,null
47154,1,Collection[2],null,null
47159,1,Collection[2],null,null
47160,1,Collection[2],null,null
47176,1,Collection[2],null,null
47177,1,Collection[1],null,null
47186,1,Collection[2],null,null
47187,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47192,1,Collection[2],null,null
47193,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47198,1,Collection[2],null,null
47199,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47211,1,Collection[2],null,null
47212,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
47217,1,Collection[2],null,null
47218,1,Collection[1],null,null
47228,1,Collection[2],null,null
47229,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47234,1,Collection[2],null,null
47235,1,Collection[2],null,null
47240,1,Collection[2],null,null
47241,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47246,1,Collection[2],null,null
47247,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47252,1,Collection[2],null,null
47253,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47258,1,Collection[2],null,null
47259,1,Collection[1],null,null
47264,1,Collection[2],null,null
47265,1,Collection[1],null,null
47270,1,Collection[2],null,null
47271,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47276,1,Collection[2],null,null
47277,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47282,1,Collection[2],null,null
47283,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47288,1,Collection[2],null,null
47289,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47294,1,Collection[2],null,null
47295,1,Collection[1],null,null
47300,1,Collection[2],null,null
47301,1,Collection[1],null,null
47306,1,Collection[2],null,null
47307,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47324,1,Collection[2],null,null
47325,1,Collection[1],null,null
47389,1,Collection[2],null,null
47390,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47492,1,Collection[2],null,null
47493,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47502,1,Collection[2],null,null
47503,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47525,1,Collection[2],null,null
47526,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
47531,1,Collection[2],null,null
47532,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47537,1,Collection[2],null,null
47538,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
47543,1,Collection[2],null,null
47544,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47549,1,Collection[2],null,null
47550,1,Collection[1],null,null
47555,1,Collection[2],null,null
47556,1,Collection[1],null,null
47561,1,Collection[2],null,null
47562,1,Collection[1],null,null
47567,1,Collection[2],null,null
47568,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47573,1,Collection[2],null,null
47574,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47622,1,Collection[2],null,null
47623,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47628,1,Collection[2],null,null
47629,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47658,1,Collection[2],null,null
47659,1,Collection[1],null,null
47664,1,Collection[2],null,null
47665,1,Collection[1],null,null
47670,1,Collection[2],null,null
47671,1,Collection[1],null,null
47676,1,Collection[2],null,null
47677,1,Collection[1],null,null
47726,1,Collection[2],null,null
47727,1,Collection[1],null,null
47732,1,Collection[2],null,null
47733,1,Collection[1],null,null
47748,1,Collection[2],null,null
47749,1,Collection[2],null,null
47801,1,Collection[2],null,null
47802,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47807,1,Collection[2],null,null
47808,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47813,1,Collection[2],null,null
47814,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47819,1,Collection[2],null,null
47820,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47963,1,Collection[2],null,null
47964,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
47969,1,Collection[2],null,null
47970,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
48746,1,Collection[2],null,null
48747,1,Collection[1],null,null
48780,1,Collection[2],null,null
48781,1,Collection[2],null,null
48819,1,Collection[2],null,null
48820,1,Collection[1],null,null
48825,1,Collection[2],null,null
48826,1,Collection[1],null,null
48900,1,Collection[2],null,null
48901,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
48910,1,Collection[2],null,null
48911,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
48951,1,Collection[2],null,null
48952,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
48957,1,Collection[2],null,null
48958,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
48963,1,Collection[2],null,null
48964,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
48969,1,Collection[2],null,null
48970,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49014,1,Collection[2],null,null
49015,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49020,1,Collection[2],null,null
49021,1,Collection[1],null,null
49029,1,Collection[2],null,null
49030,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49035,1,Collection[2],null,null
49036,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49041,1,Collection[2],null,null
49042,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49047,1,Collection[2],null,null
49048,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49066,1,Collection[2],null,null
49067,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49072,1,Collection[2],null,null
49073,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49078,1,Collection[2],null,null
49079,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49084,1,Collection[2],null,null
49085,1,Collection[1],null,null
49090,1,Collection[2],null,null
49091,1,Collection[1],null,null
49101,1,Collection[2],null,null
49102,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49112,1,Collection[2],null,null
49113,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49118,1,Collection[2],null,null
49119,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49124,1,Collection[2],null,null
49125,1,Collection[1],null,null
49130,1,Collection[2],null,null
49131,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49141,1,Collection[2],null,null
49142,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49147,1,Collection[2],null,null
49148,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49153,1,Collection[2],null,null
49154,1,Collection[1],null,null
49159,1,Collection[2],null,null
49160,1,Collection[2],null,null
49193,1,Collection[2],null,null
49194,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49205,1,Collection[2],null,null
49206,1,Collection[1],null,null
49215,1,Collection[2],null,null
49216,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49221,1,Collection[2],null,null
49222,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49231,1,Collection[2],null,null
49232,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49237,1,Collection[2],null,null
49238,1,Collection[2],null,null
49341,1,Collection[2],null,null
49342,1,Collection[1],null,null
49361,1,Collection[2],null,null
49362,1,Collection[1],null,null
49367,1,Collection[2],null,null
49368,1,Collection[1],null,null
49395,1,Collection[2],null,null
49396,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49401,1,Collection[2],null,null
49402,1,Collection[1],null,null
49407,1,Collection[2],null,null
49408,1,Collection[1],null,null
49413,1,Collection[2],null,null
49414,1,Collection[1],null,null
49454,1,Collection[2],null,null
49455,1,Collection[1],null,null
49493,1,Collection[2],null,null
49494,1,Collection[1],null,null
49499,1,Collection[2],null,null
49500,1,Collection[1],null,null
49505,1,Collection[2],null,null
49506,1,Collection[1],null,null
49511,1,Collection[2],null,null
49512,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49517,1,Collection[2],null,null
49518,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49523,1,Collection[2],null,null
49524,1,Collection[2],null,null
49537,1,Collection[2],null,null
49538,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49543,1,Collection[2],null,null
49544,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49549,1,Collection[2],null,null
49550,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49555,1,Collection[2],null,null
49556,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49561,1,Collection[2],null,null
49562,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49567,1,Collection[2],null,null
49568,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49573,1,Collection[2],null,null
49574,1,Collection[2],null,null
49584,1,Collection[2],null,null
49585,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49590,1,Collection[2],null,null
49591,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49596,1,Collection[2],null,null
49597,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49602,1,Collection[2],null,null
49603,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49608,1,Collection[2],null,null
49609,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49618,1,Collection[2],null,null
49619,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49642,1,Collection[2],null,null
49643,1,Collection[1],null,null
49648,1,Collection[2],null,null
49649,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49654,1,Collection[2],null,null
49655,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49665,1,Collection[2],null,null
49666,1,Collection[1],null,null
49671,1,Collection[2],null,null
49672,1,Collection[1],null,null
49730,1,Collection[2],null,null
49731,1,Collection[1],null,null
49736,1,Collection[2],null,null
49737,1,Collection[1],null,null
49742,1,Collection[2],null,null
49743,1,Collection[1],null,null
49748,1,Collection[2],null,null
49749,1,Collection[1],null,null
49754,1,Collection[2],null,null
49755,1,Collection[1],null,null
49760,1,Collection[2],null,null
49761,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49782,1,Collection[2],null,null
49783,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49788,1,Collection[2],null,null
49789,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49794,1,Collection[2],null,null
49795,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49807,1,Collection[2],null,null
49808,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49828,1,Collection[2],null,null
49829,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49834,1,Collection[2],null,null
49835,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49840,1,Collection[2],null,null
49841,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49846,1,Collection[2],null,null
49847,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49852,1,Collection[2],null,null
49853,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
49858,1,Collection[2],null,null
49859,1,Collection[1],null,null
49878,1,Collection[2],null,null
49879,1,Collection[2],null,null
49884,1,Collection[2],null,null
49885,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49890,1,Collection[2],null,null
49891,1,Collection[1],null,null
49896,1,Collection[2],null,null
49897,1,Collection[1],null,null
49902,1,Collection[2],null,null
49903,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49908,1,Collection[2],null,null
49909,1,Collection[1],null,null
49914,1,Collection[2],null,null
49915,1,Collection[1],null,null
49920,1,Collection[2],null,null
49921,1,Collection[1],null,null
49926,1,Collection[2],null,null
49927,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49971,1,Collection[2],null,null
49972,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49977,1,Collection[2],null,null
49978,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49983,1,Collection[2],null,null
49984,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
49999,1,Collection[2],null,null
50000,1,Collection[2],null,null
50042,1,Collection[2],null,null
50043,1,Collection[1],null,null
50052,1,Collection[2],null,null
50053,1,Collection[1],null,null
50058,1,Collection[2],null,null
50059,1,Collection[1],null,null
50064,1,Collection[2],null,null
50065,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50070,1,Collection[2],null,null
50071,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50076,1,Collection[2],null,null
50077,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50119,1,Collection[2],null,null
50120,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50125,1,Collection[2],null,null
50126,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50217,1,Collection[2],null,null
50218,1,Collection[2],null,null
50223,1,Collection[2],null,null
50224,1,Collection[2],null,null
50229,1,Collection[2],null,null
50230,1,Collection[2],null,null
50235,1,Collection[2],null,null
50236,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50244,1,Collection[2],null,null
50245,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50300,1,Collection[2],null,null
50301,1,Collection[2],null,null
50394,1,Collection[2],null,null
50395,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50411,1,Collection[2],null,null
50412,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50417,1,Collection[2],null,null
50418,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50423,1,Collection[2],null,null
50424,1,Collection[1],null,null
50429,1,Collection[2],null,null
50430,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50435,1,Collection[2],null,null
50436,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50449,1,Collection[2],null,null
50450,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50455,1,Collection[2],null,null
50456,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50466,1,Collection[2],null,null
50467,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50472,1,Collection[2],null,null
50473,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50478,1,Collection[2],null,null
50479,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50508,1,Collection[2],null,null
50509,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50544,1,Collection[2],null,null
50545,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50554,1,Collection[1],null,null
50555,1,Collection[2],null,null
50560,1,Collection[1],null,null
50565,1,Collection[1],null,null
50566,1,Collection[2],null,null
50571,1,Collection[2],null,null
50572,1,Collection[1],null,null
50577,1,Collection[1],null,null
50578,1,Collection[1],null,null
50579,1,Collection[1],null,null
50584,1,Collection[1],null,null
50589,1,Collection[1],null,null
50590,1,Collection[1],null,null
50591,1,Collection[1],null,null
50611,1,Collection[2],null,null
50612,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50617,1,Collection[2],null,null
50618,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50627,1,Collection[2],null,null
50628,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50633,1,Collection[2],null,null
50634,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50639,1,Collection[2],null,null
50640,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50652,1,Collection[2],null,null
50653,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50664,1,Collection[2],null,null
50665,1,Collection[1],null,null
50670,1,Collection[2],null,null
50671,1,Collection[1],null,null
50676,1,Collection[2],null,null
50677,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50682,1,Collection[2],null,null
50683,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50688,1,Collection[2],null,null
50689,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50700,1,Collection[2],null,null
50701,1,Collection[2],null,null
50706,1,Collection[2],null,null
50707,1,Collection[2],null,null
50712,1,Collection[2],null,null
50713,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
50718,1,Collection[2],null,null
50719,1,Collection[1],null,null
50724,1,Collection[2],null,null
50725,1,Collection[1],null,null
50730,1,Collection[2],null,null
50731,1,Collection[1],null,null
50784,1,Collection[2],null,null
50785,1,Collection[1],null,null
50790,1,Collection[2],null,null
50791,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
50801,1,Collection[2],null,null
50802,1,Collection[2],null,null
51263,1,Collection[2],null,null
51264,1,Collection[1],null,null
51276,1,Collection[2],null,null
51277,1,Collection[1],null,null
51341,1,Collection[2],null,null
51342,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
51619,1,Collection[2],null,null
51620,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51625,1,Collection[2],null,null
51626,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51672,1,Collection[2],null,null
51673,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51678,1,Collection[2],null,null
51679,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51684,1,Collection[2],null,null
51685,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51690,1,Collection[2],null,null
51691,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51696,1,Collection[2],null,null
51697,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51702,1,Collection[2],null,null
51703,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
51708,1,Collection[2],null,null
51709,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51714,1,Collection[2],null,null
51715,1,Collection[1],null,null
51720,1,Collection[2],null,null
51721,1,Collection[1],null,null
51726,1,Collection[2],null,null
51727,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51732,1,Collection[2],null,null
51733,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51738,1,Collection[2],null,null
51739,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51744,1,Collection[2],null,null
51745,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
51750,1,Collection[2],null,null
51751,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
51756,1,Collection[2],null,null
51757,1,Collection[1],null,null
51762,1,Collection[2],null,null
51763,1,Collection[1],null,null
51768,1,Collection[2],null,null
