[ID],ControllerName,Maxspeed,UnitMovingType,CyclicManoeuvrability,GFactorLimit,LateralSpeed,Mass,MaxInclination,RotorArea,TorqueManoeuvrability,UpwardSpeed,CriticalEffectModule,TempsDemiTour,MaxAcceleration,MaxDeceleration,WeaponSabordAngle
41838,MouvementHandlerController,16120,6,110,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41864,MouvementHandlerController,10400,6,100,2.5,2600,3700,89,150,100,1560,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41887,MouvementHandlerController,13000,6,60,1.8,2600,12000,60,380,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41920,MouvementHandlerController,14040,6,40,1.8,2600,22000,60,520,30,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41958,MouvementHandlerController,14040,6,80,2.5,2600,11000,89,235,60,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41974,MouvementHandlerController,17160,6,100,3,2600,12000,89,225,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
41983,MouvementHandlerController,16120,6,100,3,2600,12000,89,225,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
42009,MouvementHandlerController,15600,6,110,2.5,2600,5300,89,128,80,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,1.570796
42020,MouvementHandlerController,16640,6,110,3.5,2600,5300,89,128,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
42066,MouvementHandlerController,13520,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,2080,null
42091,MouvementHandlerController,15600,6,100,2.5,2600,10000,89,210,100,3250,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
42104,MouvementHandlerController,17160,6,80,2.5,2600,11000,89,235,60,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42115,MouvementHandlerController,15600,6,40,1.8,2600,50000,60,800,30,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42140,MouvementHandlerController,10400,6,100,2.5,2600,3700,89,150,100,1560,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,1.570796
42274,MouvementHandlerController,9360,6,60,1.8,2600,12000,60,380,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42337,MouvementHandlerController,13000,6,60,1.8,2600,12000,60,380,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,2.094395
42374,MouvementHandlerController,13000,6,60,1.8,2600,12000,60,380,60,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42414,MouvementHandlerController,9360,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
42439,MouvementHandlerController,14560,6,130,2.5,2600,3000,89,90,110,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
42452,MouvementHandlerController,12480,6,130,2.5,2600,3000,89,90,110,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
42493,MouvementHandlerController,13000,6,90,2.5,2600,7000,80,177,80,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
42513,MouvementHandlerController,15080,6,100,3,2600,12000,89,225,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
42521,MouvementHandlerController,15600,6,100,3,2600,8500,89,168,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1040,1040,null
42529,MouvementHandlerController,15600,6,100,2.5,2600,10000,89,210,100,3250,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
42534,MouvementHandlerController,13000,6,80,2.5,2600,7000,75,177,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42555,MouvementHandlerController,14300,6,40,1.8,2600,50000,60,800,30,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42562,MouvementHandlerController,13000,6,90,2.5,2600,7000,80,177,80,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42577,MouvementHandlerController,13520,6,90,2.5,2600,7000,80,177,80,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42595,MouvementHandlerController,15600,6,100,2.5,2600,10000,89,210,100,3250,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
42634,MouvementHandlerController,14560,6,100,3,2600,12000,89,225,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
42676,MouvementHandlerController,11440,6,80,2.2,2600,4100,89,153,60,1300,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,1.570796
42682,MouvementHandlerController,11440,6,80,2.2,2600,4100,89,153,60,1300,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
42735,MouvementHandlerController,11440,6,80,2.2,2600,4100,89,153,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
42747,MouvementHandlerController,13520,6,100,3,2600,12000,89,225,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
42797,MouvementHandlerController,15600,6,90,2.5,2600,7000,80,177,80,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
