[ID],ControllerName,Selection,Default,_ShortDatabaseName,InitStage
18616,FuelController,Collection[1],107 : 30965 (False) - TFuelModuleDescriptor,null,null
18617,ScannerConfigurationController,Collection[1],108 : 30966 (False) - TScannerConfigurationDescriptor,null,null
18618,ScannerController,Collection[1],109 : 30967 (False) - TModernWarfareScannerModuleDescriptor,null,null
18620,MissileCarriageController,Collection[1],114 : 30969 (False) - TMissileCarriageModuleDescriptor,null,null
18622,IAStratController,Collection[1],110 : 30971 (False) - TIAStratModuleDescriptor,null,2
18625,TypeUnitController,Collection[2],96 : 30973 (False) - TTypeUnitModuleDescriptor,null,null
18626,CompanyUnitController,Collection[1],101 : 30974 (False) - TCompanyUnitModuleDescriptor,null,null
18628,WeaponManagerController,Collection[1],103 : 30976 (True) - TWeaponManagerModuleDescriptor,null,null
18629,MouvementHandlerController,Collection[1],106 : 30977 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18630,FuelController,Collection[1],107 : 30978 (False) - TFuelModuleDescriptor,null,null
18631,IAStratController,Collection[1],110 : 30979 (False) - TIAStratModuleDescriptor,null,2
18633,TypeUnitController,Collection[2],96 : 30981 (False) - TTypeUnitModuleDescriptor,null,null
18634,CompanyUnitController,Collection[1],101 : 30982 (False) - TCompanyUnitModuleDescriptor,null,null
18636,WeaponManagerController,Collection[1],103 : 30984 (True) - TWeaponManagerModuleDescriptor,null,null
18638,TypeUnitController,Collection[2],96 : 30986 (False) - TTypeUnitModuleDescriptor,null,null
18640,PositionController,Collection[1],93 : 30987 (False) - TPositionModuleDescriptor,null,null
18641,CompanyUnitController,Collection[1],101 : 30988 (False) - TCompanyUnitModuleDescriptor,null,null
18643,WeaponManagerController,Collection[1],103 : 30990 (True) - TWeaponManagerModuleDescriptor,null,null
18644,MouvementHandlerController,Collection[1],106 : 30991 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18645,FuelController,Collection[1],107 : 30992 (False) - TFuelModuleDescriptor,null,null
18646,ScannerConfigurationController,Collection[1],108 : 30993 (False) - TScannerConfigurationDescriptor,null,null
18647,ScannerController,Collection[1],109 : 30994 (False) - TModernWarfareScannerModuleDescriptor,null,null
18649,IAStratController,Collection[1],110 : 30996 (False) - TIAStratModuleDescriptor,null,2
18651,TypeUnitController,Collection[2],96 : 30998 (False) - TTypeUnitModuleDescriptor,null,null
18652,CompanyUnitController,Collection[1],101 : 30999 (False) - TCompanyUnitModuleDescriptor,null,null
18654,WeaponManagerController,Collection[1],103 : 31001 (True) - TWeaponManagerModuleDescriptor,null,null
18655,DamageController,Collection[1],104 : 31002 (False) - TModernWarfareDamageModuleDescriptor,null,null
18656,MouvementHandlerController,Collection[1],106 : 31003 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18659,TypeUnitController,Collection[2],96 : 31005 (False) - TTypeUnitModuleDescriptor,null,null
18660,CompanyUnitController,Collection[1],101 : 31006 (False) - TCompanyUnitModuleDescriptor,null,null
18662,WeaponManagerController,Collection[1],103 : 31008 (True) - TWeaponManagerModuleDescriptor,null,null
18663,FuelController,Collection[1],107 : 31009 (False) - TFuelModuleDescriptor,null,null
18665,TypeUnitController,Collection[2],96 : 31011 (False) - TTypeUnitModuleDescriptor,null,null
18666,CompanyUnitController,Collection[1],101 : 31012 (False) - TCompanyUnitModuleDescriptor,null,null
18668,WeaponManagerController,Collection[1],103 : 31014 (True) - TWeaponManagerModuleDescriptor,null,null
18670,TypeUnitController,Collection[2],96 : 31016 (False) - TTypeUnitModuleDescriptor,null,null
18671,CompanyUnitController,Collection[1],101 : 31017 (False) - TCompanyUnitModuleDescriptor,null,null
18673,WeaponManagerController,Collection[1],103 : 31019 (True) - TWeaponManagerModuleDescriptor,null,null
18674,MouvementHandlerController,Collection[1],106 : 31020 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18675,FuelController,Collection[1],107 : 31021 (False) - TFuelModuleDescriptor,null,null
18676,IAStratController,Collection[1],110 : 31022 (False) - TIAStratModuleDescriptor,null,2
18678,TypeUnitController,Collection[2],96 : 31024 (False) - TTypeUnitModuleDescriptor,null,null
18679,CompanyUnitController,Collection[1],101 : 31025 (False) - TCompanyUnitModuleDescriptor,null,null
18681,WeaponManagerController,Collection[1],103 : 31027 (True) - TWeaponManagerModuleDescriptor,null,null
18682,MouvementHandlerController,Collection[1],106 : 31028 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18684,TypeUnitController,Collection[2],96 : 31030 (False) - TTypeUnitModuleDescriptor,null,null
18685,CompanyUnitController,Collection[1],101 : 31031 (False) - TCompanyUnitModuleDescriptor,null,null
18687,WeaponManagerController,Collection[1],103 : 31033 (True) - TWeaponManagerModuleDescriptor,null,null
18689,TypeUnitController,Collection[2],96 : 31035 (False) - TTypeUnitModuleDescriptor,null,null
18690,CompanyUnitController,Collection[1],101 : 31036 (False) - TCompanyUnitModuleDescriptor,null,null
18692,WeaponManagerController,Collection[1],103 : 31038 (True) - TWeaponManagerModuleDescriptor,null,null
18693,DamageController,Collection[1],104 : 31039 (False) - TModernWarfareDamageModuleDescriptor,null,null
18694,FuelController,Collection[1],107 : 31040 (False) - TFuelModuleDescriptor,null,null
18696,TypeUnitController,Collection[2],96 : 31042 (False) - TTypeUnitModuleDescriptor,null,null
18697,CompanyUnitController,Collection[1],101 : 31043 (False) - TCompanyUnitModuleDescriptor,null,null
18699,WeaponManagerController,Collection[1],103 : 31045 (True) - TWeaponManagerModuleDescriptor,null,null
18701,TypeUnitController,Collection[2],96 : 31047 (False) - TTypeUnitModuleDescriptor,null,null
18702,CompanyUnitController,Collection[1],101 : 31048 (False) - TCompanyUnitModuleDescriptor,null,null
18704,WeaponManagerController,Collection[1],103 : 31050 (True) - TWeaponManagerModuleDescriptor,null,null
18706,TypeUnitController,Collection[2],96 : 31052 (False) - TTypeUnitModuleDescriptor,null,null
18707,CompanyUnitController,Collection[1],101 : 31053 (False) - TCompanyUnitModuleDescriptor,null,null
18709,WeaponManagerController,Collection[1],103 : 31055 (True) - TWeaponManagerModuleDescriptor,null,null
18710,MouvementHandlerController,Collection[1],106 : 31056 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18712,TypeUnitController,Collection[2],96 : 31058 (False) - TTypeUnitModuleDescriptor,null,null
18714,CriticalEffectController,Collection[1],97 : 31059 (True) - TCriticalEffectModuleDescriptor,null,null
18715,PositionController,Collection[1],93 : 31061 (False) - TPositionModuleDescriptor,null,null
18716,CompanyUnitController,Collection[1],101 : 31062 (False) - TCompanyUnitModuleDescriptor,null,null
18717,VisibilityController,Collection[1],102 : 31063 (False) - TVisibilityModuleDescriptor,null,null
18718,WeaponManagerController,Collection[1],103 : 31064 (True) - TWeaponManagerModuleDescriptor,null,null
18719,DamageController,Collection[1],104 : 31065 (False) - TModernWarfareDamageModuleDescriptor,null,null
18720,HaloController,Collection[1],105 : 31066 (False) - THaloModuleDescriptor,InfantryHaloModuleDescriptor,null
18721,GroupeCombatController,Collection[1],115 : 31067 (False) - TGroupeCombatModuleDescriptor,null,null
18722,MouvementHandlerController,Collection[1],106 : 31068 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18724,CommandManagerController,Collection[1],116 : 31070 (False) - TCommandManagerModuleDescriptor,null,null
18725,CadavreController,Collection[1],null,null,null
18726,IAStratController,Collection[1],110 : 31072 (False) - TIAStratModuleDescriptor,null,2
18730,TypeUnitController,Collection[2],96 : 31074 (False) - TTypeUnitModuleDescriptor,null,null
18732,PositionController,Collection[1],93 : 31075 (False) - TPositionModuleDescriptor,null,null
18733,CompanyUnitController,Collection[1],101 : 31076 (False) - TCompanyUnitModuleDescriptor,null,null
18734,VisibilityController,Collection[1],102 : 31077 (False) - TVisibilityModuleDescriptor,null,null
18735,WeaponManagerController,Collection[1],103 : 31078 (True) - TWeaponManagerModuleDescriptor,null,null
18736,GroupeCombatController,Collection[1],115 : 31079 (False) - TGroupeCombatModuleDescriptor,null,null
18737,MouvementHandlerController,Collection[1],106 : 31080 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18738,ScannerConfigurationController,Collection[1],108 : 31081 (False) - TScannerConfigurationDescriptor,null,null
18739,ScannerController,Collection[1],109 : 31082 (False) - TModernWarfareScannerModuleDescriptor,null,null
18741,IAStratController,Collection[1],110 : 31084 (False) - TIAStratModuleDescriptor,null,2
18743,TypeUnitController,Collection[2],96 : 31086 (False) - TTypeUnitModuleDescriptor,null,null
18744,CompanyUnitController,Collection[1],101 : 31087 (False) - TCompanyUnitModuleDescriptor,null,null
18745,WeaponManagerController,Collection[1],103 : 31088 (True) - TWeaponManagerModuleDescriptor,null,null
18746,DamageController,Collection[1],104 : 31089 (False) - TModernWarfareDamageModuleDescriptor,null,null
18747,GroupeCombatController,Collection[1],115 : 31090 (False) - TGroupeCombatModuleDescriptor,null,null
18749,IAStratController,Collection[1],110 : 31092 (False) - TIAStratModuleDescriptor,null,2
18752,TypeUnitController,Collection[2],96 : 31094 (False) - TTypeUnitModuleDescriptor,null,null
18753,CompanyUnitController,Collection[1],101 : 31095 (False) - TCompanyUnitModuleDescriptor,null,null
18754,WeaponManagerController,Collection[1],103 : 31096 (True) - TWeaponManagerModuleDescriptor,null,null
18755,GroupeCombatController,Collection[1],115 : 31097 (False) - TGroupeCombatModuleDescriptor,null,null
18757,IAStratController,Collection[1],110 : 31098 (False) - TIAStratModuleDescriptor,null,2
18760,TypeUnitController,Collection[2],96 : 31100 (False) - TTypeUnitModuleDescriptor,null,null
18761,CompanyUnitController,Collection[1],101 : 31101 (False) - TCompanyUnitModuleDescriptor,null,null
18763,WeaponManagerController,Collection[1],103 : 31103 (True) - TWeaponManagerModuleDescriptor,null,null
18764,DamageController,Collection[1],104 : 31104 (False) - TModernWarfareDamageModuleDescriptor,null,null
18765,MouvementHandlerController,Collection[1],106 : 31105 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18768,TypeUnitController,Collection[2],96 : 31107 (False) - TTypeUnitModuleDescriptor,null,null
18769,CompanyUnitController,Collection[1],101 : 31108 (False) - TCompanyUnitModuleDescriptor,null,null
18771,WeaponManagerController,Collection[1],103 : 31110 (True) - TWeaponManagerModuleDescriptor,null,null
18772,ScannerConfigurationController,Collection[1],108 : 31111 (False) - TScannerConfigurationDescriptor,null,null
18774,TypeUnitController,Collection[2],96 : 31113 (False) - TTypeUnitModuleDescriptor,null,null
18775,CompanyUnitController,Collection[1],101 : 31114 (False) - TCompanyUnitModuleDescriptor,null,null
18777,WeaponManagerController,Collection[1],103 : 31116 (True) - TWeaponManagerModuleDescriptor,null,null
18779,TypeUnitController,Collection[2],96 : 31118 (False) - TTypeUnitModuleDescriptor,null,null
18780,CompanyUnitController,Collection[1],101 : 31119 (False) - TCompanyUnitModuleDescriptor,null,null
18782,WeaponManagerController,Collection[1],103 : 31121 (True) - TWeaponManagerModuleDescriptor,null,null
18784,TypeUnitController,Collection[2],96 : 31123 (False) - TTypeUnitModuleDescriptor,null,null
18785,CompanyUnitController,Collection[1],101 : 31124 (False) - TCompanyUnitModuleDescriptor,null,null
18787,WeaponManagerController,Collection[1],103 : 31126 (True) - TWeaponManagerModuleDescriptor,null,null
18788,MouvementHandlerController,Collection[1],106 : 31127 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18789,FuelController,Collection[1],107 : 31128 (False) - TFuelModuleDescriptor,null,null
18790,MissileCarriageController,Collection[1],114 : 31129 (False) - TMissileCarriageModuleDescriptor,null,null
18793,TypeUnitController,Collection[2],96 : 31132 (False) - TTypeUnitModuleDescriptor,null,null
18794,CompanyUnitController,Collection[1],101 : 31133 (False) - TCompanyUnitModuleDescriptor,null,null
18796,WeaponManagerController,Collection[1],103 : 31135 (True) - TWeaponManagerModuleDescriptor,null,null
18797,MouvementHandlerController,Collection[1],106 : 31136 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18798,MissileCarriageController,Collection[1],114 : 31137 (False) - TMissileCarriageModuleDescriptor,null,null
18801,TypeUnitController,Collection[2],96 : 31140 (False) - TTypeUnitModuleDescriptor,null,null
18802,CompanyUnitController,Collection[1],101 : 31141 (False) - TCompanyUnitModuleDescriptor,null,null
18804,WeaponManagerController,Collection[1],103 : 31143 (True) - TWeaponManagerModuleDescriptor,null,null
18805,MissileCarriageController,Collection[1],114 : 31144 (False) - TMissileCarriageModuleDescriptor,null,null
18808,TypeUnitController,Collection[2],96 : 31147 (False) - TTypeUnitModuleDescriptor,null,null
18809,PositionController,Collection[1],93 : 31149 (False) - TPositionModuleDescriptor,null,null
18810,CompanyUnitController,Collection[1],101 : 31150 (False) - TCompanyUnitModuleDescriptor,null,null
18812,WeaponManagerController,Collection[1],103 : 31152 (True) - TWeaponManagerModuleDescriptor,null,null
18813,MouvementHandlerController,Collection[1],106 : 31153 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18814,FuelController,Collection[1],107 : 31154 (False) - TFuelModuleDescriptor,null,null
18817,TypeUnitController,Collection[2],96 : 31156 (False) - TTypeUnitModuleDescriptor,null,null
18818,PositionController,Collection[1],93 : 31158 (False) - TPositionModuleDescriptor,null,null
18819,CompanyUnitController,Collection[1],101 : 31159 (False) - TCompanyUnitModuleDescriptor,null,null
18821,WeaponManagerController,Collection[1],103 : 31161 (True) - TWeaponManagerModuleDescriptor,null,null
18822,MouvementHandlerController,Collection[1],106 : 31162 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18823,FuelController,Collection[1],107 : 31163 (False) - TFuelModuleDescriptor,null,null
18824,ScannerConfigurationController,Collection[1],108 : 31164 (False) - TScannerConfigurationDescriptor,null,null
18826,TypeUnitController,Collection[2],96 : 31166 (False) - TTypeUnitModuleDescriptor,null,null
18827,CompanyUnitController,Collection[1],101 : 31167 (False) - TCompanyUnitModuleDescriptor,null,null
18829,WeaponManagerController,Collection[1],103 : 31169 (True) - TWeaponManagerModuleDescriptor,null,null
18830,MouvementHandlerController,Collection[1],106 : 31170 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18831,FuelController,Collection[1],107 : 31171 (False) - TFuelModuleDescriptor,null,null
18833,TypeUnitController,Collection[2],96 : 31173 (False) - TTypeUnitModuleDescriptor,null,null
18834,CompanyUnitController,Collection[1],101 : 31174 (False) - TCompanyUnitModuleDescriptor,null,null
18835,VisibilityController,Collection[1],102 : 31175 (False) - TVisibilityModuleDescriptor,null,null
18837,WeaponManagerController,Collection[1],103 : 31177 (True) - TWeaponManagerModuleDescriptor,null,null
18838,DamageController,Collection[1],104 : 31178 (False) - TModernWarfareDamageModuleDescriptor,null,null
18839,MouvementHandlerController,Collection[1],106 : 31179 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18840,FuelController,Collection[1],107 : 31180 (False) - TFuelModuleDescriptor,null,null
18841,ScannerConfigurationController,Collection[1],108 : 31181 (False) - TScannerConfigurationDescriptor,null,null
18842,ScannerController,Collection[1],109 : 31182 (False) - TModernWarfareScannerModuleDescriptor,null,null
18844,IAStratController,Collection[1],110 : 31183 (False) - TIAStratModuleDescriptor,null,2
18846,TypeUnitController,Collection[2],96 : 31185 (False) - TTypeUnitModuleDescriptor,null,null
18847,PositionController,Collection[1],93 : 31186 (False) - TPositionModuleDescriptor,null,null
18848,CompanyUnitController,Collection[1],101 : 31187 (False) - TCompanyUnitModuleDescriptor,null,null
18850,WeaponManagerController,Collection[1],103 : 31189 (True) - TWeaponManagerModuleDescriptor,null,null
18851,ScannerConfigurationController,Collection[1],108 : 31190 (False) - TScannerConfigurationDescriptor,null,null
18853,IAStratController,Collection[1],110 : 31192 (False) - TIAStratModuleDescriptor,null,2
18855,TypeUnitController,Collection[2],96 : 31194 (False) - TTypeUnitModuleDescriptor,null,null
18856,PositionController,Collection[1],93 : 31195 (False) - TPositionModuleDescriptor,null,null
18857,CompanyUnitController,Collection[1],101 : 31196 (False) - TCompanyUnitModuleDescriptor,null,null
18859,WeaponManagerController,Collection[1],103 : 31198 (True) - TWeaponManagerModuleDescriptor,null,null
18860,DamageController,Collection[1],104 : 31199 (False) - TModernWarfareDamageModuleDescriptor,null,null
18861,MouvementHandlerController,Collection[1],106 : 31200 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18862,FuelController,Collection[1],107 : 31201 (False) - TFuelModuleDescriptor,null,null
18863,TransporterController,Collection[1],117 : 31202 (False) - TTransporterModuleDescriptor,null,null
18864,IAStratController,Collection[1],110 : 31203 (False) - TIAStratModuleDescriptor,null,2
18866,TypeUnitController,Collection[2],96 : 31205 (False) - TTypeUnitModuleDescriptor,null,null
18867,CompanyUnitController,Collection[1],101 : 31206 (False) - TCompanyUnitModuleDescriptor,null,null
18869,WeaponManagerController,Collection[1],103 : 31208 (True) - TWeaponManagerModuleDescriptor,null,null
18871,TypeUnitController,Collection[2],96 : 31210 (False) - TTypeUnitModuleDescriptor,null,null
18872,CompanyUnitController,Collection[1],101 : 31211 (False) - TCompanyUnitModuleDescriptor,null,null
18874,WeaponManagerController,Collection[1],103 : 31213 (True) - TWeaponManagerModuleDescriptor,null,null
18875,MouvementHandlerController,Collection[1],106 : 31214 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18876,FuelController,Collection[1],107 : 31215 (False) - TFuelModuleDescriptor,null,null
18877,IAStratController,Collection[1],110 : 31216 (False) - TIAStratModuleDescriptor,null,2
18879,TypeUnitController,Collection[2],96 : 31218 (False) - TTypeUnitModuleDescriptor,null,null
18880,CompanyUnitController,Collection[1],101 : 31219 (False) - TCompanyUnitModuleDescriptor,null,null
18882,WeaponManagerController,Collection[1],103 : 31221 (True) - TWeaponManagerModuleDescriptor,null,null
18883,ScannerConfigurationController,Collection[1],108 : 31222 (False) - TScannerConfigurationDescriptor,null,null
18885,TypeUnitController,Collection[2],96 : 31224 (False) - TTypeUnitModuleDescriptor,null,null
18886,CompanyUnitController,Collection[1],101 : 31225 (False) - TCompanyUnitModuleDescriptor,null,null
18888,WeaponManagerController,Collection[1],103 : 31227 (True) - TWeaponManagerModuleDescriptor,null,null
18890,TypeUnitController,Collection[2],96 : 31229 (False) - TTypeUnitModuleDescriptor,null,null
18891,CompanyUnitController,Collection[1],101 : 31230 (False) - TCompanyUnitModuleDescriptor,null,null
18893,WeaponManagerController,Collection[1],103 : 31232 (True) - TWeaponManagerModuleDescriptor,null,null
18894,MouvementHandlerController,Collection[1],106 : 31233 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18895,FuelController,Collection[1],107 : 31234 (False) - TFuelModuleDescriptor,null,null
18897,TypeUnitController,Collection[2],96 : 31236 (False) - TTypeUnitModuleDescriptor,null,null
18898,PositionController,Collection[1],93 : 31237 (False) - TPositionModuleDescriptor,null,null
18899,CompanyUnitController,Collection[1],101 : 31238 (False) - TCompanyUnitModuleDescriptor,null,null
18901,WeaponManagerController,Collection[1],103 : 31240 (True) - TWeaponManagerModuleDescriptor,null,null
18902,DamageController,Collection[1],104 : 31241 (False) - TModernWarfareDamageModuleDescriptor,null,null
18903,MouvementHandlerController,Collection[1],106 : 31242 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18904,FuelController,Collection[1],107 : 31243 (False) - TFuelModuleDescriptor,null,null
18905,ScannerConfigurationController,Collection[1],108 : 31244 (False) - TScannerConfigurationDescriptor,null,null
18906,IAStratController,Collection[1],110 : 31245 (False) - TIAStratModuleDescriptor,null,2
18908,TypeUnitController,Collection[2],96 : 31247 (False) - TTypeUnitModuleDescriptor,null,null
18909,CompanyUnitController,Collection[1],101 : 31248 (False) - TCompanyUnitModuleDescriptor,null,null
18911,WeaponManagerController,Collection[1],103 : 31250 (True) - TWeaponManagerModuleDescriptor,null,null
18913,TypeUnitController,Collection[2],96 : 31252 (False) - TTypeUnitModuleDescriptor,null,null
18914,CompanyUnitController,Collection[1],101 : 31253 (False) - TCompanyUnitModuleDescriptor,null,null
18916,WeaponManagerController,Collection[1],103 : 31255 (True) - TWeaponManagerModuleDescriptor,null,null
18917,FuelController,Collection[1],107 : 31256 (False) - TFuelModuleDescriptor,null,null
18920,TypeUnitController,Collection[2],96 : 31258 (False) - TTypeUnitModuleDescriptor,null,null
18921,CompanyUnitController,Collection[1],101 : 31259 (False) - TCompanyUnitModuleDescriptor,null,null
18923,WeaponManagerController,Collection[1],103 : 31261 (True) - TWeaponManagerModuleDescriptor,null,null
18925,TypeUnitController,Collection[2],96 : 31263 (False) - TTypeUnitModuleDescriptor,null,null
18926,CompanyUnitController,Collection[1],101 : 31264 (False) - TCompanyUnitModuleDescriptor,null,null
18928,WeaponManagerController,Collection[1],103 : 31266 (True) - TWeaponManagerModuleDescriptor,null,null
18929,DamageController,Collection[1],104 : 31267 (False) - TModernWarfareDamageModuleDescriptor,null,null
18930,FuelController,Collection[1],107 : 31268 (False) - TFuelModuleDescriptor,null,null
18933,TypeUnitController,Collection[2],96 : 31270 (False) - TTypeUnitModuleDescriptor,null,null
18934,CompanyUnitController,Collection[1],101 : 31271 (False) - TCompanyUnitModuleDescriptor,null,null
18936,WeaponManagerController,Collection[1],103 : 31273 (True) - TWeaponManagerModuleDescriptor,null,null
18937,DamageController,Collection[1],104 : 31274 (False) - TModernWarfareDamageModuleDescriptor,null,null
18938,MouvementHandlerController,Collection[1],106 : 31275 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18940,TypeUnitController,Collection[2],96 : 31277 (False) - TTypeUnitModuleDescriptor,null,null
18941,CompanyUnitController,Collection[1],101 : 31278 (False) - TCompanyUnitModuleDescriptor,null,null
18943,WeaponManagerController,Collection[1],103 : 31280 (True) - TWeaponManagerModuleDescriptor,null,null
18945,TypeUnitController,Collection[2],96 : 31282 (False) - TTypeUnitModuleDescriptor,null,null
18946,CompanyUnitController,Collection[1],101 : 31283 (False) - TCompanyUnitModuleDescriptor,null,null
18948,WeaponManagerController,Collection[1],103 : 31285 (True) - TWeaponManagerModuleDescriptor,null,null
18949,DamageController,Collection[1],104 : 31286 (False) - TModernWarfareDamageModuleDescriptor,null,null
18950,IAStratController,Collection[1],110 : 31287 (False) - TIAStratModuleDescriptor,null,2
18952,TypeUnitController,Collection[2],96 : 31289 (False) - TTypeUnitModuleDescriptor,null,null
18953,CompanyUnitController,Collection[1],101 : 31290 (False) - TCompanyUnitModuleDescriptor,null,null
18955,WeaponManagerController,Collection[1],103 : 31292 (True) - TWeaponManagerModuleDescriptor,null,null
18956,DamageController,Collection[1],104 : 31293 (False) - TModernWarfareDamageModuleDescriptor,null,null
18958,TypeUnitController,Collection[2],96 : 31295 (False) - TTypeUnitModuleDescriptor,null,null
18959,CompanyUnitController,Collection[1],101 : 31296 (False) - TCompanyUnitModuleDescriptor,null,null
18961,WeaponManagerController,Collection[1],103 : 31298 (True) - TWeaponManagerModuleDescriptor,null,null
18963,TypeUnitController,Collection[2],96 : 31300 (False) - TTypeUnitModuleDescriptor,null,null
18964,CompanyUnitController,Collection[1],101 : 31301 (False) - TCompanyUnitModuleDescriptor,null,null
18966,WeaponManagerController,Collection[1],103 : 31303 (True) - TWeaponManagerModuleDescriptor,null,null
18967,DamageController,Collection[1],104 : 31304 (False) - TModernWarfareDamageModuleDescriptor,null,null
18968,MouvementHandlerController,Collection[1],106 : 31305 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18969,FuelController,Collection[1],107 : 31306 (False) - TFuelModuleDescriptor,null,null
18971,TypeUnitController,Collection[2],96 : 31308 (False) - TTypeUnitModuleDescriptor,null,null
18972,CompanyUnitController,Collection[1],101 : 31309 (False) - TCompanyUnitModuleDescriptor,null,null
18974,WeaponManagerController,Collection[1],103 : 31311 (True) - TWeaponManagerModuleDescriptor,null,null
18975,DamageController,Collection[1],104 : 31312 (False) - TModernWarfareDamageModuleDescriptor,null,null
18976,FuelController,Collection[1],107 : 31313 (False) - TFuelModuleDescriptor,null,null
18978,TypeUnitController,Collection[2],96 : 31315 (False) - TTypeUnitModuleDescriptor,null,null
18979,CompanyUnitController,Collection[1],101 : 31316 (False) - TCompanyUnitModuleDescriptor,null,null
18981,WeaponManagerController,Collection[1],103 : 31318 (True) - TWeaponManagerModuleDescriptor,null,null
18982,DamageController,Collection[1],104 : 31319 (False) - TModernWarfareDamageModuleDescriptor,null,null
18984,TypeUnitController,Collection[2],96 : 31321 (False) - TTypeUnitModuleDescriptor,null,null
18985,CompanyUnitController,Collection[1],101 : 31322 (False) - TCompanyUnitModuleDescriptor,null,null
18987,WeaponManagerController,Collection[1],103 : 31324 (True) - TWeaponManagerModuleDescriptor,null,null
18988,MouvementHandlerController,Collection[1],106 : 31325 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18990,TypeUnitController,Collection[2],96 : 31327 (False) - TTypeUnitModuleDescriptor,null,null
18991,CompanyUnitController,Collection[1],101 : 31328 (False) - TCompanyUnitModuleDescriptor,null,null
18993,WeaponManagerController,Collection[1],103 : 31330 (True) - TWeaponManagerModuleDescriptor,null,null
18995,TypeUnitController,Collection[2],96 : 31332 (False) - TTypeUnitModuleDescriptor,null,null
18996,ExperienceController,Collection[1],100 : 31333 (False) - TModernWarfareExperienceModuleDescriptor,null,null
18997,CompanyUnitController,Collection[1],101 : 31334 (False) - TCompanyUnitModuleDescriptor,null,null
18999,MouvementHandlerController,Collection[1],106 : 31336 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
