[ID],ControllerName,Maxspeed,TempsDemiTour,MaxAcceleration,AutoGyr,FxPropulsionOnToken,FxPropulsionOffToken,FxStartPropulsionToken,AutoGyrWhenUncontrollable,TimeMaxBetweenRandomMoveWhenUncontrollable,TimeMinBetweenRandomMoveWhenUncontrollable,RangeChaos,AngleMaxForRandomMouvUncontrollable,RotationSpeedWhenUncontrollable,ChaosSpeed
96753,MouvementHandlerController,208000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96872,MouvementHandlerController,780000,0.1,52000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
96895,MouvementHandlerController,780000,0.1,52000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
96909,MouvementHandlerController,208000,0.1,78000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96925,MouvementHandlerController,780000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96946,MouvementHandlerController,1040000,0.1,78000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
97007,MouvementHandlerController,39000,0.1,52000,15,fx_propulsion_on,fx_propulsion_off,fx_fire,5,1,0.5,600,1,5,5
97016,MouvementHandlerController,780000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
97636,MouvementHandlerController,780000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
97816,MouvementHandlerController,650000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98047,MouvementHandlerController,780000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98052,MouvementHandlerController,182000,0.1,78000,15,fx_propulsion_on,fx_propulsion_off,fx_fire,1,1,0.5,600,0.1,0.1,5
