[ID],PaliersSuppressDamages,PaliersPhysicalDamages,SuppressDamagesRegenRatio,SuppressDamagesRegenRatioOutOfRange,StunDamagesRegen,StunDamagesToGetStunned,SuppressDamagesEffects,BlindageProperties,PhysicalDamagesEffects,MaxSuppressionDamages,TestMoralRollRule
42998,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53949 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43004,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53963 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43010,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53976 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43124,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54158 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43200,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54290 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43229,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54355 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43241,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54386 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43334,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54606 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43339,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54617 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43365,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54680 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43414,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54754 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43579,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55113 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43642,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55256 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43694,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55375 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43747,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55470 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43796,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55549 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43829,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55612 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43839,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55633 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43896,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55715 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43966,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55824 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43972,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55838 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43977,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55847 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43990,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55873 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
43996,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55884 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44002,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55895 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44013,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55916 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44019,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55929 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44024,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55939 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44030,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55952 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44041,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55976 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44047,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 55988 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44073,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56042 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44143,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56163 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44149,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56174 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44154,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56183 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44165,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56204 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44170,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56214 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44195,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56256 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44211,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56287 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44217,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56298 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44223,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56309 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44229,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56323 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44235,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56335 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44242,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56348 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44313,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56466 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
44576,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56952 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45091,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 57787 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45098,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 57799 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45131,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 57867 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45214,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58041 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45224,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58061 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45264,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58134 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45337,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58240 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45353,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58271 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45359,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58284 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45543,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58613 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45572,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58655 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45578,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58666 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45594,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58697 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45600,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58708 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45606,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58719 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45612,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58730 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45648,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58803 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45664,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58834 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
45670,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 58845 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46051,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 59616 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46070,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 59651 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46077,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 59663 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46084,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 59675 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46132,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 59776 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46236,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 59995 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46242,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60006 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46277,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60079 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46314,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60157 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46330,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60191 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46346,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60223 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46411,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60349 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46426,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60394 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46432,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60405 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46476,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60509 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46482,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60520 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46516,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60585 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46533,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60618 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46630,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60819 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46667,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60895 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46672,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60906 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46677,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60915 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46700,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60951 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46707,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60964 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46720,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 60988 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46726,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 61000 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
46923,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 61303 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
47007,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 61465 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
47148,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 61733 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
47941,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63106 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48088,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63356 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48094,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63367 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48283,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63645 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48311,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63703 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48392,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63855 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48434,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 63940 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48534,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64145 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48540,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64156 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48546,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64168 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48572,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64225 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48583,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64243 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48589,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64255 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48625,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64327 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48631,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64338 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48667,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64413 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48678,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64438 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48684,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64449 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48690,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64461 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48696,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64473 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48702,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64485 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48713,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 64508 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
48965,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 65054 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49020,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 65166 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49067,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 65275 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49098,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 65343 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49104,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 65354 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49110,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 65365 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49533,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 66092 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49699,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 66427 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49938,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 66911 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
49968,Collection[4],Collection[3],Collection[5],20,20,1200,Collection[4],169 : 66949 (False) - TBlindageProperties,Collection[3],2000,171 : 66950 (True) - TModernWarfareTestMoralRollRule
49997,Collection[4],Collection[3],Collection[5],20,10,600,Collection[4],169 : 66949 (False) - TBlindageProperties,Collection[3],1000,171 : 66970 (True) - TModernWarfareTestMoralRollRule
50006,Collection[4],Collection[3],Collection[5],20,20,1200,Collection[4],169 : 66998 (False) - TBlindageProperties,Collection[3],2000,171 : 66950 (True) - TModernWarfareTestMoralRollRule
50041,Collection[4],Collection[3],Collection[5],20,40,2400,Collection[4],169 : 66998 (False) - TBlindageProperties,Collection[3],4000,171 : 67032 (True) - TModernWarfareTestMoralRollRule
50075,Collection[4],Collection[3],Collection[5],20,10,600,Collection[4],169 : 66998 (False) - TBlindageProperties,Collection[3],1000,171 : 66970 (True) - TModernWarfareTestMoralRollRule
50304,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53633 (False) - TBlindageProperties,Collection[3],800,171 : 67545 (True) - TModernWarfareTestMoralRollRule
50389,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 56466 (False) - TBlindageProperties,Collection[3],800,171 : 67545 (True) - TModernWarfareTestMoralRollRule
50676,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 54754 (False) - TBlindageProperties,Collection[3],800,171 : 67545 (True) - TModernWarfareTestMoralRollRule
51420,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 69938 (False) - TBlindageProperties,Collection[3],800,171 : 69939 (True) - TModernWarfareTestMoralRollRule
51433,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 69958 (False) - TBlindageProperties,Collection[3],800,171 : 69939 (True) - TModernWarfareTestMoralRollRule
53072,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53401 (False) - TBlindageProperties,Collection[3],800,171 : 69939 (True) - TModernWarfareTestMoralRollRule
53293,Collection[4],Collection[3],Collection[1],20,5,200,Collection[4],169 : 73517 (False) - TBlindageProperties,Collection[3],null,null
100933,Collection[4],Collection[3],Collection[1],20,5,200,Collection[4],169 : 53633 (False) - TBlindageProperties,Collection[3],null,null
