[ID],ArmorDescriptorFront,ArmorDescriptorSides,ArmorDescriptorRear,ArmorDescriptorTop
55939,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
55952,202 : 73968 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55976,202 : 75195 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
55988,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
56042,202 : 73947 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
56163,202 : 75299 (True) - TArmorDescriptor,202 : 73986 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
56174,202 : 75306 (True) - TArmorDescriptor,202 : 73968 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
56183,202 : 74429 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
56204,202 : 75195 (True) - TArmorDescriptor,202 : 73968 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
56214,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
56256,202 : 73968 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
56287,202 : 73968 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
56298,202 : 73968 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
56309,202 : 75195 (True) - TArmorDescriptor,202 : 73992 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
56323,202 : 75386 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
56335,202 : 74430 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
56348,202 : 73992 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
56466,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
56952,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
57787,202 : 76290 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
57799,202 : 76297 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
57867,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58041,202 : 73992 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
58061,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58134,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
58240,202 : 73986 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58271,202 : 73992 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58284,202 : 74963 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58613,202 : 76766 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
58655,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
58666,202 : 73947 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
58697,202 : 73986 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58708,202 : 74429 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
58719,202 : 75386 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
58730,202 : 75299 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
58803,202 : 76864 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
58834,202 : 73992 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
58845,202 : 74430 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
59616,202 : 75195 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
59651,202 : 76864 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
59663,202 : 76297 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
59675,202 : 74429 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
59776,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
59995,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
60006,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
60079,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
60157,202 : 73992 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60191,202 : 73986 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60223,202 : 74668 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
60349,202 : 74668 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60394,202 : 74668 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60405,202 : 74429 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60509,202 : 76864 (True) - TArmorDescriptor,202 : 73986 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
60520,202 : 76290 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
60585,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
60618,202 : 73992 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
60819,202 : 76297 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
60895,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60906,202 : 73955 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60915,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
60951,202 : 75386 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
60964,202 : 76290 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
60988,202 : 76766 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
61000,202 : 76864 (True) - TArmorDescriptor,202 : 73968 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
61303,202 : 74430 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
61465,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
61733,202 : 75195 (True) - TArmorDescriptor,202 : 73986 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
63106,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
63356,202 : 74430 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
63367,202 : 73986 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
63645,202 : 74668 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
63703,202 : 73986 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
63855,202 : 73968 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
63940,202 : 74668 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64145,202 : 74668 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
64156,202 : 76297 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64168,202 : 75386 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64225,202 : 74429 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64243,202 : 76290 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64255,202 : 75195 (True) - TArmorDescriptor,202 : 73986 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64327,202 : 76297 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64338,202 : 76290 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64413,202 : 76766 (True) - TArmorDescriptor,202 : 73986 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64438,202 : 74429 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor
64449,202 : 74668 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64461,202 : 75386 (True) - TArmorDescriptor,202 : 73986 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64473,202 : 74963 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64485,202 : 76297 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
64508,202 : 76766 (True) - TArmorDescriptor,202 : 74927 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
65054,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
65166,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
65275,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
65343,202 : 74963 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
65354,202 : 75299 (True) - TArmorDescriptor,202 : 73955 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
65365,202 : 73992 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
66092,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
66427,202 : 73992 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
66911,202 : 73917 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
66949,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
66998,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
69938,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
69958,202 : 82890 (True) - TArmorDescriptor,202 : 82890 (True) - TArmorDescriptor,202 : 82890 (True) - TArmorDescriptor,202 : 82890 (True) - TArmorDescriptor
73517,202 : 85404 (True) - TArmorDescriptor,202 : 85404 (True) - TArmorDescriptor,202 : 85404 (True) - TArmorDescriptor,202 : 85404 (True) - TArmorDescriptor
