[ID],ControllerName,BehaviourDescriptor,GfxPorteur,GfxPorteurGhost,GfxWeaponModels,PositionModule,WeaponManagerModule,CadavreModule,DamageModule
31505,GroupeCombatController,146 : 43172 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43173 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31579,GroupeCombatController,146 : 43223 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43224 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32209,GroupeCombatController,146 : 43708 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43709 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32214,GroupeCombatController,146 : 43714 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43715 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32219,GroupeCombatController,146 : 43720 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43721 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32258,GroupeCombatController,146 : 43752 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43753 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32263,GroupeCombatController,146 : 43758 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43759 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32275,GroupeCombatController,146 : 43768 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43769 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32280,GroupeCombatController,146 : 43774 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43775 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32299,GroupeCombatController,146 : 43789 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43790 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32320,GroupeCombatController,146 : 43807 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43808 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32372,GroupeCombatController,146 : 43844 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43845 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32384,GroupeCombatController,146 : 43854 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43855 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32389,GroupeCombatController,146 : 43860 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43861 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32394,GroupeCombatController,146 : 43866 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43867 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32399,GroupeCombatController,146 : 43872 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43873 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32404,GroupeCombatController,146 : 43878 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43879 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32409,GroupeCombatController,146 : 43884 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43885 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32414,GroupeCombatController,146 : 43890 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43891 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32426,GroupeCombatController,146 : 43901 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43902 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32431,GroupeCombatController,146 : 43907 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43908 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32436,GroupeCombatController,146 : 43913 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43914 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32442,GroupeCombatController,146 : 43919 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43920 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32447,GroupeCombatController,146 : 43925 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43926 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32452,GroupeCombatController,146 : 43931 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43932 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32457,GroupeCombatController,146 : 43937 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43938 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32462,GroupeCombatController,146 : 43943 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43944 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32632,GroupeCombatController,146 : 44078 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44079 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32637,GroupeCombatController,146 : 44084 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44085 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32642,GroupeCombatController,146 : 44090 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44091 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32647,GroupeCombatController,146 : 44096 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44097 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32734,GroupeCombatController,146 : 44175 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44176 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32739,GroupeCombatController,146 : 44181 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44182 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32835,GroupeCombatController,146 : 44263 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44264 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32845,GroupeCombatController,146 : 44274 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44275 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32850,GroupeCombatController,146 : 44280 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44281 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32855,GroupeCombatController,146 : 44286 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44287 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32871,GroupeCombatController,146 : 44301 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44302 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32876,GroupeCombatController,146 : 44307 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44308 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32912,GroupeCombatController,146 : 44333 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44334 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32922,GroupeCombatController,146 : 44343 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44344 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32939,GroupeCombatController,146 : 44355 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44356 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32944,GroupeCombatController,146 : 44361 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44362 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32949,GroupeCombatController,146 : 44367 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44368 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32954,GroupeCombatController,146 : 44373 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44374 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32959,GroupeCombatController,146 : 44379 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44380 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
32964,GroupeCombatController,146 : 44385 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44386 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33109,GroupeCombatController,146 : 44490 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44491 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33114,GroupeCombatController,146 : 44496 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44497 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33119,GroupeCombatController,146 : 44502 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44503 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33124,GroupeCombatController,146 : 44508 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44509 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33129,GroupeCombatController,146 : 44514 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44515 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33134,GroupeCombatController,146 : 44520 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44521 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33170,GroupeCombatController,146 : 44548 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44549 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33185,GroupeCombatController,146 : 44562 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44563 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33238,GroupeCombatController,146 : 44603 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44604 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33243,GroupeCombatController,146 : 44609 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44610 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33248,GroupeCombatController,146 : 44615 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44616 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33264,GroupeCombatController,146 : 44628 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44629 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33285,GroupeCombatController,146 : 44644 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44645 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33296,GroupeCombatController,146 : 44655 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44656 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33301,GroupeCombatController,146 : 44661 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44662 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33306,GroupeCombatController,146 : 44667 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44668 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33311,GroupeCombatController,146 : 44673 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44674 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33316,GroupeCombatController,146 : 44679 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44680 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33331,GroupeCombatController,146 : 44693 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44694 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33336,GroupeCombatController,146 : 44699 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44700 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33341,GroupeCombatController,146 : 44705 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44706 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33346,GroupeCombatController,146 : 44711 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44712 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33351,GroupeCombatController,146 : 44717 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44718 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33356,GroupeCombatController,146 : 44723 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44724 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33361,GroupeCombatController,146 : 44729 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44730 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33406,GroupeCombatController,146 : 44760 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44761 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33433,GroupeCombatController,146 : 44782 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44783 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33438,GroupeCombatController,146 : 44788 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44789 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33443,GroupeCombatController,146 : 44794 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44795 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33448,GroupeCombatController,146 : 44800 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44801 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33453,GroupeCombatController,146 : 44806 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44807 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33458,GroupeCombatController,146 : 44812 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44813 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33469,GroupeCombatController,146 : 44822 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44823 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33474,GroupeCombatController,146 : 44828 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44829 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33497,GroupeCombatController,146 : 44849 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44850 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33516,GroupeCombatController,146 : 44864 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44865 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33568,GroupeCombatController,146 : 44906 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44907 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
33573,GroupeCombatController,146 : 44912 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 44913 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
