DC02000000000000, Anti-Radar
1A225C0A00000000, Fleyta
88305C0A00000000, 9M217
82405C0A00000000, 9M311
04415C0A00000000, 9M333
07415C0A00000000, 3M9
C3455C0A00000000, 9M33M2
9DB7380B00000000, M113 ADATS
04043A0B00000000, TORNADO F.3
8370450B00000000, AGM-12C Bullpup
4671450B00000000, AGM-45B Shrike
0972450B00000000, AGM-78D Standard
4572450B00000000, AGM-84 Harpoon
4972450B00000000, AGM-88 HARM
88D0450B00000000, AGS-17
85714D0B00000000, AIM-54 Phoenix
0F724D0B00000000, AIM-7E Sparrow
10724D0B00000000, AIM-7F Sparrow
17724D0B00000000, AIM-7M Sparrow
8C724D0B00000000, AIM-9B
8F724D0B00000000, AIM-9E
90724D0B00000000, AIM-9F
94724D0B00000000, AIM-9J
96724D0B00000000, AIM-9L
97724D0B00000000, AIM-9M
9D724D0B00000000, AIM-9S
C921500B00000000, AJ 168
0722540B00000000, AK-176
0131540B00000000, AK230 CIWS
0171540B00000000, AK630 CIWS
17B7580B00000000, ALARM
C1615D0B00000000, AML 60
81625D0B00000000, AML 90 #reco1
03215E0B00000000, AMX-32
41215E0B00000000, AMX-40
88D1710B00000000, ARS-57
5640740B00000000, AS30L
4341740B00000000, AS.34 Kormoran 2
1C42740B00000000, AS-37 Martel AR
46F2750B00000000, ASU-85M
B109760B00000000, AS VAL 
DE20780B00000000, AT12T
C4A0910B00000000, AZP-23 Amur
E66ACE0B00000000, ANAFA
B027DF0B00000000, Command Tank
57A0540C00000000, BK90 Mjölner
8681580C00000000, BL-755
C711590C00000000, BLG-66 Beluga
8CF0590C00000000, BLU1/B
57315C0C00000000, BM-24M
95E05C0C00000000, #command BMD-1K
8EA05D0C00000000, BMP-1D
95A05D0C00000000, #command BMP-1K
9AA05D0C00000000, BMP-1P
A2A05D0C00000000, BMP-1KT #reco1
CEA05D0C00000000, BMP-2D
43025F0C00000000, Mk 82
44025F0C00000000, Mk 83
45025F0C00000000, Mk 84
0101660C00000000, SPAT BOV 30
8821700C00000000, BR-1-57
C2E5700C00000000, BRDM-1 #reco1
C3E5700C00000000, BRDM-2 #reco1
9570710C00000000, BWR-1D #reco3
41C1790C00000000, BTR-40 #reco1
81C1790C00000000, BTR-50
01C2790C00000000, BTR-70
41C2790C00000000, BTR-80
95A0810C00000000, #command BVP-1K
9AA0810C00000000, BVP-1P
CEA0850C00000000, BWP-2D
4C06990C00000000, Logisitic support vessel
2A7B9B0C00000000, Landing Craft Mechanized
B0F99B0C00000000, BAZAK
D1D5090D00000000, C1 SMG
D1721D0D00000000, C6
9C10200D00000000, YJ-7R
86C02D0D00000000, CAR-15
C5F0310D00000000, CBU-24
48F2310D00000000, CBU-87
8920480D00000000, CH-118
0621480D00000000, CH-135
0721480D00000000, CH-136 #reco2
4821480D00000000, CH-147 CARGO
01225C0D00000000, CM.170
99C32D0E00000000, DARDO CIWS
FE79AB0E00000000, Derby
B7DAD20E00000000, DOHER
CDE2610F00000000, ENTAC
01A1CA0F00000000, Dual Emerlec 30
9120081000000000, F111G
DA42091000000000, F-1
8621481000000000, FH155
4542491000000000, FHJ-84
D172611000000000, FN MAG
0351801000000000, FV432
39CD9A1000000000, PTŘS FAGOT 
AA6CC61000000000, Flamethrower
9523141100000000, m/85
81F0311100000000, GBU-27/B Paveway III
83F0311100000000, GBU-12 Paveway II
C8F0311100000000, GBU-27 Paveway III
CC95711100000000, GROM-B
C440761100000000, GSz-23
B11B9B1100000000, Galil
83A09B1100000000, GAU-12/A Equalizer
DEA2DE1100000000, Grenade AT
02A4DE1100000000, F1
0672ED1100000000, Gv M75
15561A1200000000, B-5
9E773D1200000000, HEMTT
0C81501200000000, HJ-73B
42E9651200000000, HOT 1
43E9651200000000, HOT 2
C190741200000000, HS.820
BFBB9A1200000000, HAFIZ
B72A9B1200000000, HAMER
B0599B1200000000, #command HAPAK
94E09B1200000000, Hai Ying-1J
0D51C31200000000, HKP 3C
4B51C31200000000, HKP 4A
CB51C31200000000, HKP 6A #reco2
A6BAD31200000000, Hovea m/49
B9BAD31200000000, HOVET
0992791300000000, ITO 78
0A92791300000000, ITO 79
4792791300000000, ITO 86
8192791300000000, ITO 90
8792791300000000, ITO 96
8219B31300000000, Igla-1
A019B31300000000, Igla-V
306FB61300000000, MIM-23B I-Hawk
82B2C31300000000, IKV 91
CBB2CE1300000000, Anti-Aircraft Team
DEB2CE1300000000, Anti-Tank Team
B79ACF1300000000, Interceptor
B7B9CF1300000000, Invar
15C60C1400000000, F-5B
1D64101400000000, J 35FS
B7CA9A1400000000, JÄGER
B1BA9B1400000000, Javelin
55C6091500000000, K1
1617101500000000, K30
15461C1500000000, ZSD-531A
16E6351500000000, KCT #reco2
87315C1500000000, KM256
01426A1500000000, KPz 70 KEILER
1731B41500000000, Kh-23M
8E32B41500000000, Kh-29D
9632B41500000000, Kh-29L
9E32B41500000000, Kh-29T
8B40B41500000000, Kh-31A
9A40B41500000000, Kh-58U
381DD31500000000, T813 KOLOS
B729D31500000000, KOMAR
343BD31500000000, #command KONGO
39EED61500000000, Kpist m/45B
5DA0EC1500000000, Kv-90S73 
4101F31500000000, StuK 40L/48
C242081600000000, L13A1
C252101600000000, L34A1
DE222D1600000000, LAHAT
43C72D1600000000, LARS-2
C6002E1600000000, LAV-25 FSV
41122E1600000000, LAW 80
85A1411600000000, LFP 54
8191691600000000, LPO-50
88E6811600000000, LVTP-7
2DEE9A1600000000, LAISH
9112081700000000, SKH M/109G
8B100C1700000000, M201A
50260C1700000000, M-21OF
61260D1700000000, M2
C3A2101700000000, Twin M39A2
1C17141700000000, M40 RR
9523141700000000, M41 DK1 #reco1
7577181700000000, Sprangraket m/56
1182181700000000, #command M577G
C382181700000000, M-57A2
C4131C1700000000, M60E3
0213201700000000, M-70B1
C532201700000000, M72A4 LAW
CC32201700000000, M-72AB
D552241700000000, #command M-84AK
D852241700000000, M-84AN #reco2
D155241700000000, M-84
55C6251700000000, M8 PANSERBIL #reco1
4AE12D1700000000, MAT 49
01E2311700000000, MBT-70
4160341700000000, MC / GP Mk.10
5D66351700000000, MCLOS
5031381700000000, MD24-F
8221441700000000, MG151
C381441700000000, Machine Gun 7.62
4B314C1700000000, Mi-24A
4E314C1700000000, Mi-24D
5A314C1700000000, Mi-24P
61314C1700000000, Mi-24W
15364C1700000000, Mi-2 #reco2
34374C1700000000, Mi-2Ro #reco3
DD374C1700000000, Mi-2 US
E0524C1700000000, Mi-4AV
15564C1700000000, Mi-4
15964C1700000000, Mi-8
A0974C1700000000, Mi-8T
D8624D1700000000, MILAN F1
4E67681700000000, MP5SD
5735691700000000, Mpi-KM
B89FAB1700000000, STRZELCY PODHALAŃSCY
C8C0BA1700000000, MiG-27
81A1C61700000000, Mk 61
ABC9EA1700000000, #command MUGAF
6E8EEB1700000000, Musti
A75E551800000000, Deprec! 2K12 KUB
87205C1800000000, NM116 #reco2
06215C1800000000, NM135
43215C1800000000, NM142
86225C1800000000, NM195
C351791800000000, 62 Shiki
B3FB9A1800000000, #command NAJIN
BBCAAA1800000000, Negev
8C79D31800000000, SO-155 NORA-B
D5B2741900000000, OSA-AK
8190781900000000, OT-810D
0792791900000000, OTO Melara
C170AB1900000000, Oerlikon 20
4942461A00000000, PGZ-88
0B41501A00000000, Dual PJ-33A
C6B0581A00000000, ZPT 90 
0522751A00000000, PSH 74
CC81781A00000000, PT-76B #reco1
89B1781A00000000, PTA-Kanisteri 58
AD7AAB1A00000000, PEREH
B39AAB1A00000000, PETEN
306FB61A00000000, MIM-23B I-Hawk PIP II
4501FD1A00000000, PzF 44
02870C1C00000000, R-27R1 Vympel 
5760181C00000000, R.550 Magic
C245201C00000000, R-73M1 Vympel
DE722D1C00000000, RAM AT #reco1
87D1311C00000000, RBS 56
01D2311C00000000, RBS 70
81D2311C00000000, RBS 90
C771451C00000000, RGM-66D
4572451C00000000, RGM-84 Harpoon
17724D1C00000000, RIM-7M Sea Sparrow
0702651C00000000, L23A1
8710691C00000000, RPG-16D
8910691C00000000, RPG-18
C310691C00000000, RPG-22
C710691C00000000, RPG-26
CA10691C00000000, RPG-29 Vampyr
0612691C00000000, RPG-75
2012691C00000000, RPG-7V
4851691C00000000, RPK
0552691C00000000, RPK-74
DD37741C00000000, R-55
B7999A1C00000000, Radar
338DAA1C00000000, recon
4460B41C00000000, Rh-503
6ABCBA1C00000000, Battle Rifle
81212C1D00000000, SA-150 KPI
CB852C1D00000000, Strela-2M/A
C651351D00000000, Newnanbu M66
4361441D00000000, SG-542
4461441D00000000, SG-543
8297551D00000000, #command SKOT R-3 
8397551D00000000, SKOT-2
DC255C1D00000000, SM1 MR block V
DC355C1D00000000, SM2 MR block II
8E12691D00000000, SPG-9D
C1116A1D00000000, #command SPW-60(S)
01126A1D00000000, SPW-70
41126A1D00000000, SPW-80
8131881D00000000, SX250
B75A9B1D00000000, ŽENISTÉ
B94EA31D00000000, PRŮZKUMNÍCI #reco2
2A3CAB1D00000000, SENKE #reco2
B12AB71D00000000, SHMEL
2E8EBB1D00000000, SISSI #reco2
B15AD31D00000000, SOPEL
F24DE71D00000000, STORMER
1532E81D00000000, Su-27K
1556101E00000000, T-34/85
D562181E00000000, #command T-55AK
D762181E00000000, T-55AM
64331C1E00000000, T-62cz
C2351C1E00000000, T-62M
E0351C1E00000000, T-62MV-1
15361C1E00000000, T-62D
16471C1E00000000, T63
17531C1E00000000, T-64BM
20531C1E00000000, T-64BV
0233201E00000000, T-72B1
C235201E00000000, T-72M1 JAGUAR
1667201E00000000, T75
2013241E00000000, T-80BV
02C22C1E00000000, OT TAB-71
C170351E00000000, TCM 20
DDA2651E00000000, TOPAS
81819A1E00000000, C15 LRSW
F45DA71E00000000, Tank Destroyer Prototype
8470B21E00000000, TGB 13
16E6FE1F00000000, Uzi
8DC62C2000000000, #command VAB PC
1C64312000000000, VBL #reco2
8261902100000000, WZ-551
41222C2200000000, XA-180
D590502300000000, YJ-82K
B78E9B2300000000, YAS'UR 
93D4182400000000, Z-5
93D4282400000000, Z-9A
4160302400000000, ZB500
8302592400000000, WZ-550
C3E7692400000000, ZPTU-2
C5E7692400000000, ZPTU-4
661AAB2400000000, ZELDA
745DBB2400000000, MONITOR ZIPPO
C374FD2800000000, Mi-2 #reco2
86E1FD2800000000, T-55 #reco1
03E2FD2800000000, T-72
57E42D2900000000, Anti-Tank Guided Missiles are dedicated anti-tank weapons, accurate and effective but more restricted in their use than common bazookas.
A74C332900000000, Bombs are dropped by planes on ground targets. Using only gravity as a mean of projection, they have to be dropped right over (or just before) the target. Depending of the mass of explosive they are packing, they are dealing more or less damages to unarmored targets, but much less to armored ones.
5D38352900000000, Close-in weapon systems are designed to provide anti-missile point-defense. They quickly fire and destroy incoming missiles.
2D6EC62B00000000, Flashbang
2C1C048100000000, 1000kg
44C7048100000000, BS-3
AF89058100000000, 100 gun
8AE1058100000000, T69-II
44E2198100000000, T83
46E2198300000000, PLA 125
4672218300000000, M85
6087218300000000, NSV
B28C948300000000, 12,7mm
4771058400000000, M-46
2C1C048500000000, 1400kg
B26C948500000000, 14,5mm
2C1C048600000000, 1500kg
47710D8600000000, M-46
0261198600000000, L31
5DE605C300000000, MO.1.01.04
0A29CBC400000000, 23mm Z-9
C3750CCB00000000, 2A26M2
C29510CB00000000, 2A38M
013114CB00000000, 2A42 
2C1C040101000000, 3000kg
C725CB0801000000, M6
B24C206501000000, 4,73mm
B26C14A501000000, 5,45mm
B27C18A501000000, 5,56mm
83B12C0602000000, AA-52
81B1740602000000, SA.50
C1710D0702000000, M60
D1720D0702000000, MAG 7,62
44740D0702000000, MG3
02840D0702000000, NF-1
57A50D0702000000, PKT
C3225C0702000000, M1A2
05015F0702000000, Mk34
B23C940702000000, 76,2mm
B23C1C2502000000, 7,62mm
B23C282502000000, 7,92mm
8DB6044202000000, OT-810
C425CB8102000000, M3
9721089502000000, Metys-M
9720089702000000, Faktoriya
1721089702000000, Konkurs-M
5721089702000000, Kokon-M
1722089702000000, Arkan
9722089702000000, Refleks
D750089702000000, Malyutka-2M
DE50089702000000, Malyutka-2T
8256089702000000, Malyutka-P1
9720109702000000, 9M311M
C345109702000000, 9M33M3
C295109702000000, 9M38M1
4665189702000000, 9M55K
57E72DCE02000000, ADATS
01813DCE02000000, ADEN 30
8A205CD102000000, Penguin
C3205CD102000000, AGM-122 Sidearm
8C715CD102000000, AGM-65B Maverick
8D715CD102000000, AGM-65C Maverick
8E715CD102000000, AGM-65D Maverick
8F715CD102000000, AGM-65E Maverick
90715CD102000000, AGM-65F Maverick
91715CD102000000, AGM-65G Maverick
DD4709D202000000, AH-1J COBRA  #reco1
16561CD202000000, AH-64 TD
84A65CD302000000, AIM-9P 3
5F5720D502000000, AKS-74U
5A2088D702000000, AMX-10P
4C4088D702000000, AMX-30
DD624DDA02000000, APILAS
9E6708DD02000000, AS.15TT
0DB858DD02000000, #command ASLAV-C
97917CDD02000000, ASU-85M
DDD52CDE02000000, M39
D7D245DE02000000, Dual purpose missile
413064DE02000000, ATO-200
412074DE02000000, ATS-103
38EECAE602000000, Anti-Aircraft Missile
304ADFE602000000, Jaktraket m/57
B5DEDDEE02000000, Air Superiority fighter
06329BF002000000, Akan m/75
A9DCC8F702000000, Command Armor
A9DDE1F802000000, Assault Squad
C960BAFB02000000, AVIA 28
57D7590B03000000, BAL
15260C1703000000, BM-21
15560C1703000000, BM-24
1526681703000000, KORSHUN
4772811903000000, BOV M-86 #reco1
DF70391C03000000, #command BRDM-2U
4B50701E03000000, BTR-40A  #reco1
4C50701E03000000, SPW-40 #reco1
5580701E03000000, #command BTR-70K
C120542103000000, BWK120
B309DF2603000000, BARKAN
8B309B3003000000, BKAN 1A
