[ID],ControllerName,Maxspeed,UnitMovingType,SpeedBonusOnRoad,TempsDemiTour,MaxAcceleration,MaxDeceleration,VehicleSubType,CriticalEffectModule,TerrainsToIgnoreMask
31474,MouvementHandlerController,2340,5,1.444444,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31539,MouvementHandlerController,3120,5,0.8333333,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31547,MouvementHandlerController,3120,5,0.8333333,2,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31553,MouvementHandlerController,3120,7,1.5,4,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31560,MouvementHandlerController,4680,7,0.6666667,4,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31586,MouvementHandlerController,3120,8,0.8333333,3,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31593,MouvementHandlerController,3640,3,1.142857,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31607,MouvementHandlerController,3120,3,1.5,7,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31620,MouvementHandlerController,3900,3,1,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31627,MouvementHandlerController,3380,3,1.307692,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31643,MouvementHandlerController,4160,8,0.375,3,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31660,MouvementHandlerController,4160,8,0.375,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31672,MouvementHandlerController,3640,8,0.5714286,3,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31686,MouvementHandlerController,2860,5,1,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31742,MouvementHandlerController,3380,8,0.6923077,3,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31770,MouvementHandlerController,3640,8,0.5714286,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31777,MouvementHandlerController,3640,5,0.5714286,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31794,MouvementHandlerController,2860,3,1.727273,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31800,MouvementHandlerController,2860,3,1.727273,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31812,MouvementHandlerController,4940,2,0.5789474,3,1950,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
31874,MouvementHandlerController,1560,3,2,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31880,MouvementHandlerController,4160,7,0.875,2,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31938,MouvementHandlerController,5200,7,0.5,3,1040,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31965,MouvementHandlerController,4160,3,0.875,3,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31984,MouvementHandlerController,3380,3,1.307692,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32012,MouvementHandlerController,4160,7,0.875,3,2080,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32018,MouvementHandlerController,3640,7,1.142857,3,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32024,MouvementHandlerController,4680,7,0.6666667,3,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32047,MouvementHandlerController,2600,5,1.2,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32053,MouvementHandlerController,2860,3,1.727273,3,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32065,MouvementHandlerController,3380,3,1.307692,3,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32077,MouvementHandlerController,3380,3,1.307692,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32088,MouvementHandlerController,2340,8,1.444444,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32198,MouvementHandlerController,5200,7,0.5,2,2080,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32232,MouvementHandlerController,1560,5,2.666667,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32269,MouvementHandlerController,5200,3,0.5,5,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32286,MouvementHandlerController,5200,7,0.5,3,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32306,MouvementHandlerController,1820,5,2.142857,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32315,MouvementHandlerController,5200,3,0.5,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32325,MouvementHandlerController,4680,3,0.6666667,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32331,MouvementHandlerController,5720,3,0.3636364,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32357,MouvementHandlerController,3380,5,0.6923077,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32365,MouvementHandlerController,1820,5,2.142857,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32379,MouvementHandlerController,3900,5,0.4666667,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32475,MouvementHandlerController,3380,8,0.6923077,2,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32485,MouvementHandlerController,1820,5,2.142857,7,1040,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32492,MouvementHandlerController,2340,5,1.444444,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32500,MouvementHandlerController,2600,5,1.2,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32508,MouvementHandlerController,3640,8,0.5714286,2,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32514,MouvementHandlerController,3380,8,0.6923077,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32519,MouvementHandlerController,2860,3,1.727273,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32540,MouvementHandlerController,2600,5,1.2,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32560,MouvementHandlerController,2600,8,1.2,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32587,MouvementHandlerController,3900,5,0.4666667,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32683,MouvementHandlerController,2340,5,1.444444,7,1040,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32695,MouvementHandlerController,2860,5,1,6,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32727,MouvementHandlerController,2860,5,1,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32756,MouvementHandlerController,2340,5,1.444444,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32773,MouvementHandlerController,2080,5,1.75,7,1040,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32788,MouvementHandlerController,2600,5,1.2,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32817,MouvementHandlerController,3640,3,1.142857,4,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32824,MouvementHandlerController,2600,2,2,4,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
32883,MouvementHandlerController,3120,5,0.8333333,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32892,MouvementHandlerController,1820,5,2.142857,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32906,MouvementHandlerController,4940,7,0.5789474,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
32927,MouvementHandlerController,3120,2,1.5,4,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
32933,MouvementHandlerController,5200,2,0.5,4,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
32986,MouvementHandlerController,3640,5,0.5714286,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32993,MouvementHandlerController,4940,5,0.1578947,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
32999,MouvementHandlerController,4160,5,0.375,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33029,MouvementHandlerController,4160,8,0.375,4,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33036,MouvementHandlerController,2600,8,1.2,5,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33043,MouvementHandlerController,2340,8,1.444444,3,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33050,MouvementHandlerController,3900,5,0.4666667,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33074,MouvementHandlerController,3640,3,1.142857,3,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33090,MouvementHandlerController,4940,3,0.5789474,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33163,MouvementHandlerController,4160,3,0.875,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33202,MouvementHandlerController,2600,5,1.2,6,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33254,MouvementHandlerController,5460,7,0.4285714,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33269,MouvementHandlerController,4680,3,0.6666667,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33291,MouvementHandlerController,3120,8,0.8333333,5,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33371,MouvementHandlerController,5200,3,0.5,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33378,MouvementHandlerController,3640,3,1.142857,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33385,MouvementHandlerController,3120,3,1.5,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33393,MouvementHandlerController,3640,3,1.142857,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33401,MouvementHandlerController,3120,8,0.8333333,4,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33417,MouvementHandlerController,4160,3,0.875,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33464,MouvementHandlerController,3120,8,0.8333333,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33558,MouvementHandlerController,3380,8,0.6923077,7,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33593,MouvementHandlerController,2080,5,1.75,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33635,MouvementHandlerController,4160,3,0.875,2,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
33749,MouvementHandlerController,3640,5,0.5714286,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33761,MouvementHandlerController,3640,8,0.5714286,4,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33848,MouvementHandlerController,3380,8,0.6923077,4,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33864,MouvementHandlerController,2080,8,1.75,4,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
33960,MouvementHandlerController,4680,3,0.6666667,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
34123,MouvementHandlerController,2340,3,2.333333,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
34149,MouvementHandlerController,4680,7,0.6666667,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
34184,MouvementHandlerController,4940,3,0.5789474,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
34209,MouvementHandlerController,1820,8,2.142857,3,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
34222,MouvementHandlerController,3640,8,0.5714286,4,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
34795,MouvementHandlerController,5200,5,0.1,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
34868,MouvementHandlerController,2860,5,1,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
34874,MouvementHandlerController,2340,5,1.444444,6,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
34922,MouvementHandlerController,5200,3,0.5,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
35069,MouvementHandlerController,2080,5,1.75,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35101,MouvementHandlerController,3120,8,0.8333333,2,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35178,MouvementHandlerController,3380,2,1.307692,4,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
35249,MouvementHandlerController,2080,5,1.75,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35289,MouvementHandlerController,4160,3,0.875,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
35323,MouvementHandlerController,4160,5,0.375,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35340,MouvementHandlerController,4940,3,0.5789474,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
35401,MouvementHandlerController,3640,2,1.142857,4,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
35526,MouvementHandlerController,3640,5,0.5714286,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35538,MouvementHandlerController,3900,5,0.4666667,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35544,MouvementHandlerController,3380,5,0.6923077,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35711,MouvementHandlerController,3120,7,1.5,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
35805,MouvementHandlerController,2340,5,1.444444,4,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35862,MouvementHandlerController,3120,8,0.8333333,4,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
35883,MouvementHandlerController,4680,7,0.6666667,4,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
35889,MouvementHandlerController,4160,7,0.875,4,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
35928,MouvementHandlerController,2340,5,1.444444,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
36031,MouvementHandlerController,2340,8,1.444444,5,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
36586,MouvementHandlerController,1820,8,2.142857,3,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37011,MouvementHandlerController,5200,3,0.5,3,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37057,MouvementHandlerController,2600,5,1.2,7,1040,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37139,MouvementHandlerController,5720,3,0.3636364,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37174,MouvementHandlerController,3120,2,1.5,6,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
37179,MouvementHandlerController,2600,2,2,6,1300,2600,1,97 : 31808 (True) - TCriticalEffectModuleDescriptor,null
37206,MouvementHandlerController,4160,8,0.375,3,1040,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37269,MouvementHandlerController,5200,3,0.5,6,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37526,MouvementHandlerController,3640,5,0.5714286,5,1560,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37703,MouvementHandlerController,5200,3,0.5,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37723,MouvementHandlerController,4940,7,0.5789474,3,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37729,MouvementHandlerController,3380,5,0.6923077,6,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37788,MouvementHandlerController,2080,5,1.75,6,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37795,MouvementHandlerController,2600,7,2,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37811,MouvementHandlerController,2600,7,2,4,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
37942,MouvementHandlerController,2600,5,1.2,5,1040,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
37974,MouvementHandlerController,2860,5,1,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
38014,MouvementHandlerController,3640,8,0.5714286,5,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
38047,MouvementHandlerController,2860,5,1,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
38123,MouvementHandlerController,2860,5,1,6,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
38840,MouvementHandlerController,6240,3,0.25,2,2080,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
39108,MouvementHandlerController,9100,7,null,5,2210,2210,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
39116,MouvementHandlerController,10920,8,null,5,4550,9100,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
39126,MouvementHandlerController,28600,9,null,5,4550,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39137,MouvementHandlerController,31200,9,null,5,4550,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39149,MouvementHandlerController,20800,9,null,10,2730,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39159,MouvementHandlerController,23400,9,null,5,4550,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39171,MouvementHandlerController,23400,9,null,15,1300,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39181,MouvementHandlerController,13000,9,null,5,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39190,MouvementHandlerController,31200,9,null,5,3640,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39201,MouvementHandlerController,28600,9,null,20,1300,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39211,MouvementHandlerController,31200,9,null,5,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,null
39219,MouvementHandlerController,20800,9,null,5,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39228,MouvementHandlerController,19500,9,null,10,2600,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39238,MouvementHandlerController,13000,9,null,10,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39246,MouvementHandlerController,19500,9,null,15,910,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39256,MouvementHandlerController,26000,9,null,10,2210,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39266,MouvementHandlerController,23400,9,null,15,2210,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39277,MouvementHandlerController,31200,9,null,5,2730,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39286,MouvementHandlerController,23400,9,null,5,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39293,MouvementHandlerController,26000,9,null,5,4550,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39304,MouvementHandlerController,36400,9,null,5,4550,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39313,MouvementHandlerController,26000,9,null,10,2730,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39323,MouvementHandlerController,18200,7,null,5,2210,2210,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
39336,MouvementHandlerController,18200,9,null,5,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,16
39348,MouvementHandlerController,26000,9,null,20,910,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39357,MouvementHandlerController,33800,9,null,10,2730,2210,4,97 : 39119 (True) - TCriticalEffectModuleDescriptor,24
39375,MouvementHandlerController,23400,9,null,15,1820,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39384,MouvementHandlerController,23400,9,null,10,2210,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39393,MouvementHandlerController,19500,9,null,5,2210,2210,4,97 : 39132 (True) - TCriticalEffectModuleDescriptor,null
39399,MouvementHandlerController,28600,9,null,15,2600,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
39415,MouvementHandlerController,23400,9,null,20,910,2210,4,97 : 39165 (True) - TCriticalEffectModuleDescriptor,26
102861,MouvementHandlerController,3120,3,1.5,4,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
