[ID],DescriptorId,Modules,_ShortDatabaseName,ClassNameForDebug,StickToGround,ManageUnitOrientation,HitRollSizeModifier,DeathExplosionAmmo,IconeType,PositionInMenu,NameInMenuToken,AliasName,Category,AcknowUnitType,TypeForAcknow,Nationalite,MotherCountry,ProductionYear,MaxPacks,Factory,ProductionPrice,MaxDeployableAmount,ShowInMenu,ProductionTime,CoutEtoile,TextureForInterface,TextureTransportForInterface,TextureMotherCountryForInterface,UnitTypeTokens,UnitMovingType,VitesseCombat,UpgradeRequire,IsPrototype,HitRollECMModifier,Key
16570,00000000-0000-0000-0000-0000f8030000,Collection[24],Descriptor_Unit_2eme_REP_FAMAS,Unit_2eme_REP_FAMAS,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,95,D702690FA7CAEA00,DEPREC,3,24,125,null,FR,null,2,10,Collection[5],Collection[5],Collection[5],10,3,78 : 18742 (True) - TUIResourceTexture,null,Divers,null,1,1950,null,null,null,null
16571,00000000-0000-0000-0000-0000f9030000,Collection[24],Descriptor_Unit_75_Highlanders,Unit_75_Highlanders,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,E96CC62DEB4A0602,HIGHLANDERS,3,33,125,null,CAN,1975,2,6,Collection[5],Collection[5],Collection[5],10,1,78 : 18750 (True) - TUIResourceTexture,78 : 18751 (True) - TUIResourceTexture,TextureSourceCaracChooser,Collection[3],1,1950,null,null,null,null
16572,00000000-0000-0000-0000-0000fa030000,Collection[24],Descriptor_Unit_90_Motorstrelki,Unit_90_Motorstrelki,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,100,778EDF744E5F8102,MOTOSTRELKI 90,3,33,125,1,URSS,1988,3,6,Collection[5],Collection[5],Collection[5],10,null,78 : 18758 (True) - TUIResourceTexture,78 : 18759 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[4],1,1560,null,null,null,null
16573,00000000-0000-0000-0000-0000fb030000,Collection[25],Descriptor_Unit_9K33M3_Romb,Unit_9K33M3_Romb,True,True,null,89 : 18623 (True) - TAmmunition,3,10,A74C73C445109502,9K33M3 ROMB,5,30,123,1,POL,1981,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18767 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Zoom123,Collection[3],7,4160,81 : 17442 (True) - TUniteAuSolDescriptor,null,null,null
16574,00000000-0000-0000-0000-0000fc030000,Collection[25],Descriptor_Unit_9K33_OSA,Unit_9K33_OSA,True,True,null,89 : 18623 (True) - TAmmunition,3,8,4B971144A5000000,9K33 OSA,5,30,123,1,URSS,1972,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18773 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[2],7,4160,null,null,null,null
16575,00000000-0000-0000-0000-0000fd030000,Collection[25],Descriptor_Unit_9K33_OSA_AK,Unit_9K33_OSA_AK,True,True,null,89 : 18623 (True) - TAmmunition,3,9,D5B2741941540A00,9K33 OSA-AK,5,30,123,1,URSS,1975,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18778 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[2],7,4160,81 : 16574 (True) - TUniteAuSolDescriptor,null,null,null
16576,00000000-0000-0000-0000-0000fe030000,Collection[25],Descriptor_Unit_9K33_OSA_AKM,Unit_9K33_OSA_AKM,True,True,null,89 : 18623 (True) - TAmmunition,3,10,57B52C5D46109502,9K33 OSA-AKM,5,30,123,1,URSS,1980,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18783 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[2],7,4160,81 : 16575 (True) - TUniteAuSolDescriptor,null,null,null
16577,00000000-0000-0000-0000-0000ff030000,Collection[27],Descriptor_Unit_9K35_Strela10,Unit_9K35_Strela10,True,True,null,89 : 18623 (True) - TAmmunition,3,92,66ACDE7967109502,MT-LB STRELA-10M,5,30,123,1,URSS,1980,2,13,Collection[5],Collection[5],Collection[5],10,3,78 : 18792 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[6],8,3120,81 : 16709 (True) - TUniteAuSolDescriptor,null,null,null
16578,00000000-0000-0000-0000-000000040000,Collection[27],Descriptor_Unit_9K37_Buk,Unit_9K37_Buk,True,True,0.05,89 : 18605 (True) - TAmmunition,3,13,B0CE2044A5000000,9K37 BUK,5,30,123,1,URSS,1970,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18800 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,2600,null,null,null,null
16579,00000000-0000-0000-0000-000001040000,Collection[27],Descriptor_Unit_9K37_Buk_M1,Unit_9K37_Buk_M1,True,True,0.05,89 : 18605 (True) - TAmmunition,3,14,C205EB0C42540A00,9K37 BUK-M1,5,30,123,1,URSS,1984,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18807 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,2600,81 : 16578 (True) - TUniteAuSolDescriptor,null,null,null
16580,00000000-0000-0000-0000-000002040000,Collection[25],Descriptor_Unit_AML_60_20_Serval,Unit_AML_60_20_Serval,True,True,-0.05,89 : 18623 (True) - TAmmunition,1,3,B1B9DF6A07000000,AML 60/20 SERVAL,2,23,119,null,FR,1965,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18816 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[4],3,4680,81 : 17465 (True) - TUniteAuSolDescriptor,null,null,null
16581,00000000-0003-0000-0000-0000e8030000,Collection[25],Descriptor_Unit_AMOS_SWE,Unit_AMOS_SWE,True,True,null,89 : 18605 (True) - TAmmunition,2,21,4FD875D9B5000000,AMOS,3,32,119,null,SWE,1996,1,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18825 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,TextureType_TextureAnimationUnitIcone_Asynchrone,Collection[4],5,3380,null,True,null,null
16582,00000000-0004-0000-0000-0000e8030000,Collection[25],Descriptor_Unit_AMX105_Mk61_NL,Unit_AMX105_Mk61_NL,True,True,null,89 : 18727 (True) - TAmmunition,2,1,C2015F462088D702,AMX-105 Mk.61,3,32,119,null,HOL,1954,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18832 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,UI,Collection[5],5,3120,null,null,null,null
16583,00000000-0004-0000-0000-0000e9030000,Collection[25],Descriptor_Unit_AMX13_FL12_NL,Unit_AMX13_FL12_NL,True,True,-0.05,89 : 18623 (True) - TAmmunition,1,1,D82058102188D702,AMX-13/FL-12,3,24,109,null,HOL,1960,2,10,Collection[5],Collection[5],Collection[5],10,1,78 : 18845 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,UI,Collection[6],5,3120,null,null,null,null
16584,00000000-0004-0000-0000-0000ea030000,Collection[25],Descriptor_Unit_AMX13_FL15_NL,Unit_AMX13_FL15_NL,True,True,-0.05,89 : 18623 (True) - TAmmunition,1,1,982158102188D702,AMX-13/FL-15,3,24,108,null,HOL,1975,2,9,Collection[5],Collection[5],Collection[5],10,1,78 : 18854 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,UI,Collection[6],5,3120,null,null,null,null
16585,00000000-0000-0000-0000-000003040000,Collection[26],Descriptor_Unit_AMX13_VTT,Unit_AMX13_VTT,True,True,null,89 : 18623 (True) - TAmmunition,1,15,9E071282782D0000,AMX-13 VTT,1,29,101,null,FR,1967,5,8,Collection[5],Collection[5],Collection[5],10,1,78 : 18865 (True) - TUIResourceTexture,null,Divers,Collection[3],5,3380,null,null,null,null
16586,00000000-0000-0000-0000-000004040000,Collection[25],Descriptor_Unit_AMX_105_AU_50,Unit_AMX_105_AU_50,True,True,null,89 : 18727 (True) - TAmmunition,2,1,81F12D462088D702,AMX-13 AU 105mm,3,32,119,null,FR,1955,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18870 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[5],5,3120,null,null,null,null
16587,00000000-0000-0000-0000-000005040000,Collection[26],Descriptor_Unit_AMX_10_P,Unit_AMX_10_P,True,True,null,89 : 18623 (True) - TAmmunition,1,5,5A2088D702000000,AMX-10P,2,29,101,null,FR,1973,3,8,Collection[5],Collection[5],Collection[5],10,1,78 : 18878 (True) - TUIResourceTexture,null,Divers,Collection[2],8,3380,null,null,null,null
16588,00000000-0000-0000-0000-000006040000,Collection[25],Descriptor_Unit_AMX_10_P_HOT,Unit_AMX_10_P_HOT,True,True,null,89 : 18623 (True) - TAmmunition,1,10,5E266981205E0B00,AMX/HOT,2,23,101,null,FR,1980,3,8,Collection[5],Collection[5],Collection[5],10,1,78 : 18884 (True) - TUIResourceTexture,null,Divers,Collection[4],8,3380,81 : 16589 (True) - TUniteAuSolDescriptor,null,null,null
16589,00000000-0000-0000-0000-000007040000,Collection[25],Descriptor_Unit_AMX_10_P_Milan,Unit_AMX_10_P_Milan,True,True,null,89 : 18623 (True) - TAmmunition,1,8,66EC5E5A2088D702,AMX-10P/MILAN,2,23,101,null,FR,1973,3,8,Collection[5],Collection[5],Collection[5],10,1,78 : 18889 (True) - TUIResourceTexture,null,Divers,Collection[4],8,3380,null,null,null,null
16590,00000000-0000-0000-0000-000008040000,Collection[25],Descriptor_Unit_AMX_10_RC,Unit_AMX_10_RC,True,True,null,89 : 18605 (True) - TAmmunition,1,9,0D1708E2B5000000,AMX-10 RC,2,24,109,null,FR,1980,2,10,Collection[5],Collection[5],Collection[5],10,2,78 : 18896 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[3],7,4420,81 : 17466 (True) - TUniteAuSolDescriptor,null,null,null
16591,00000000-0000-0000-0000-000009040000,Collection[25],Descriptor_Unit_AMX_10_RC_Surblindage,Unit_AMX_10_RC_Surblindage,True,True,null,89 : 18605 (True) - TAmmunition,1,9,B7DE355C2088D702,AMX-10 RC SB,2,24,108,null,FR,1991,2,9,Collection[5],Collection[5],Collection[5],10,2,78 : 18907 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[4],3,4420,81 : 16594 (True) - TUniteAuSolDescriptor,null,null,null
16592,00000000-0000-0000-0000-00000a040000,Collection[25],Descriptor_Unit_AMX_13_90,Unit_AMX_13_90,True,True,-0.05,89 : 18623 (True) - TAmmunition,1,1,814208E2B5000000,AMX-13/90,3,24,109,null,FR,1966,2,10,Collection[5],Collection[5],Collection[5],10,1,78 : 18912 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[6],5,3120,null,null,null,null
16593,00000000-0000-0000-0000-00000b040000,Collection[25],Descriptor_Unit_AMX_13_DCA,Unit_AMX_13_DCA,True,True,null,89 : 18623 (True) - TAmmunition,3,5,4BE31082782D0000,AMX-13 OEIL NOIR,5,31,123,null,FR,1969,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18919 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[5],5,3120,null,null,null,null
16594,00000000-0000-0000-0000-00000c040000,Collection[25],Descriptor_Unit_AMX_13_Harpon,Unit_AMX_13_Harpon,True,True,-0.05,89 : 18623 (True) - TAmmunition,1,1,F56D4A84205E0B00,AMX-13 HARPON,3,22,108,null,FR,1974,2,9,Collection[5],Collection[5],Collection[5],10,1,78 : 18924 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Divers,Collection[6],5,3120,null,null,null,null
16595,00000000-0000-0000-0000-00000d040000,Collection[25],Descriptor_Unit_AMX_30B,Unit_AMX_30B,True,True,null,89 : 18623 (True) - TAmmunition,1,1,4C4088D702000000,AMX-30,3,22,108,null,FR,1967,2,9,Collection[5],Collection[5],Collection[5],10,1,78 : 18932 (True) - TUIResourceTexture,null,Divers,Collection[4],5,3120,null,null,null,null
16596,00000000-0000-0000-0000-00000e040000,Collection[25],Descriptor_Unit_AMX_30B2,Unit_AMX_30B2,True,True,null,89 : 18605 (True) - TAmmunition,1,3,031310E2B5000000,AMX-30B2,3,22,108,null,FR,1982,2,9,Collection[5],Collection[5],Collection[5],10,1,78 : 18939 (True) - TUIResourceTexture,null,Divers,Collection[4],5,3640,81 : 16597 (True) - TUniteAuSolDescriptor,null,null,null
16597,00000000-0000-0000-0000-00000f040000,Collection[25],Descriptor_Unit_AMX_30B_valorise,Unit_AMX_30B_valorise,True,True,null,89 : 18623 (True) - TAmmunition,1,2,746CEE4C4088D702,AMX-30B,3,22,108,null,FR,1971,2,9,Collection[5],Collection[5],Collection[5],10,2,78 : 18944 (True) - TUIResourceTexture,null,Divers,Collection[4],5,3120,81 : 16595 (True) - TUniteAuSolDescriptor,null,null,null
16598,00000000-0000-0000-0000-000010040000,Collection[25],Descriptor_Unit_AMX_30Brennus,Unit_AMX_30Brennus,True,True,null,89 : 18605 (True) - TAmmunition,1,3,F3ACDE4C4088D702,AMX-30B2 BRENNUS,3,22,108,null,FR,1991,2,9,Collection[5],Collection[5],Collection[5],10,1,78 : 18951 (True) - TUIResourceTexture,null,Divers,Collection[4],5,3640,81 : 16596 (True) - TUniteAuSolDescriptor,null,null,null
16599,00000000-0000-0000-0000-000011040000,Collection[25],Descriptor_Unit_AMX_30_ROLAND,Unit_AMX_30_ROLAND,True,True,null,89 : 18623 (True) - TAmmunition,3,9,0EB6581907000000,AMX-30 ROLAND,5,30,123,null,FR,1977,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18957 (True) - TUIResourceTexture,null,Divers,Collection[3],5,3120,81 : 16593 (True) - TUniteAuSolDescriptor,null,null,null
16600,00000000-0000-0000-0000-000012040000,Collection[25],Descriptor_Unit_AMX_30_ROLAND_2,Unit_AMX_30_ROLAND_2,True,True,null,89 : 18605 (True) - TAmmunition,3,10,83832D56C6010000,AMX-30 ROLAND 3,5,30,123,null,FR,1986,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18962 (True) - TUIResourceTexture,null,Divers,Collection[3],5,3120,81 : 16599 (True) - TUniteAuSolDescriptor,null,null,null
16601,00000000-0000-0000-0000-000013040000,Collection[25],Descriptor_Unit_AMX_32,Unit_AMX_32,True,True,null,89 : 18605 (True) - TAmmunition,1,4,03215E0B00000000,AMX-32,3,22,108,null,FR,1979,1,9,Collection[5],Collection[5],Collection[5],10,4,78 : 18970 (True) - TUIResourceTexture,null,Divers,Collection[2],5,3380,null,True,null,null
16602,00000000-0000-0000-0000-000014040000,Collection[25],Descriptor_Unit_AMX_40,Unit_AMX_40,True,True,null,89 : 18605 (True) - TAmmunition,1,4,41215E0B00000000,AMX-40,3,22,108,null,FR,1985,1,9,Collection[5],Collection[5],Collection[5],10,4,78 : 18977 (True) - TUIResourceTexture,null,Divers,Collection[2],5,3640,81 : 16601 (True) - TUniteAuSolDescriptor,True,null,null
16603,00000000-0000-0000-0000-000015040000,Collection[25],Descriptor_Unit_AMX_AuF1,Unit_AMX_AuF1,True,True,0.05,89 : 18727 (True) - TAmmunition,2,1,02A42FE2B5000000,AMX AuF1,3,32,119,null,FR,1980,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18983 (True) - TUIResourceTexture,null,Divers,Collection[3],5,3120,81 : 16586 (True) - TUniteAuSolDescriptor,null,null,null
16604,00000000-0004-0000-0000-0000eb030000,Collection[25],Descriptor_Unit_AMX_PRAT_NL,Unit_AMX_PRAT_NL,True,True,null,89 : 18623 (True) - TAmmunition,1,18,16E62D9C265E0B00,AMX-PRAT,1,23,101,null,HOL,1974,2,8,Collection[5],Collection[5],Collection[5],10,2,78 : 18989 (True) - TUIResourceTexture,null,UI,Collection[4],5,3380,null,null,null,null
16605,00000000-0004-0000-0000-0000ec030000,Collection[26],Descriptor_Unit_AMX_PRI_NL,Unit_AMX_PRI_NL,True,True,null,89 : 18623 (True) - TAmmunition,1,15,1636719A782D0000,AMX-PRI,1,29,101,null,HOL,1961,5,8,Collection[5],Collection[5],Collection[5],10,1,78 : 18994 (True) - TUIResourceTexture,null,UI,Collection[3],5,3380,null,null,null,null
16606,00000000-0004-0000-0000-0000ed030000,Collection[25],Descriptor_Unit_AMX_PRVR_NL,Unit_AMX_PRVR_NL,True,True,-0.05,89 : 18605 (True) - TAmmunition,1,5,16C6819C265E0B00,AMX-PRVR,2,23,16,null,HOL,1961,3,3,Collection[5],Collection[5],Collection[5],10,3,78 : 19004 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,UI,Collection[4],8,3380,null,null,null,null
16607,00000000-0000-0000-0000-000016040000,Collection[24],Descriptor_Unit_ANZ_90_Commando,Unit_ANZ_90_Commando,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,A62CD34DA090D802,COMMANDOS 90,3,33,125,null,ANZ,1990,3,6,Collection[5],Collection[5],Collection[5],10,1,78 : 19010 (True) - TUIResourceTexture,78 : 19011 (True) - TUIResourceTexture,Components,Collection[4],1,1950,null,null,null,null
16608,00000000-0000-0000-0000-000017040000,Collection[24],Descriptor_Unit_ANZ_90_Diggers,Unit_ANZ_90_Diggers,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,2ACBBA4EA090D802,DIGGERS 90,3,33,125,null,ANZ,1990,3,6,Collection[5],Collection[5],Collection[5],10,1,78 : 19017 (True) - TUIResourceTexture,78 : 19018 (True) - TUIResourceTexture,Components,Collection[5],1,1560,null,null,null,null
16609,00000000-0000-0000-0000-000018040000,Collection[25],Descriptor_Unit_ANZ_CMD_Squad,Unit_ANZ_CMD_Squad,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,A66E77CED590D802,TAC HQ,3,33,125,null,ANZ,1975,1,3,Collection[5],Collection[5],Collection[5],10,1,78 : 19024 (True) - TUIResourceTexture,78 : 19025 (True) - TUIResourceTexture,Components,Collection[5],1,1560,null,null,null,null
16610,00000000-0000-0000-0000-000019040000,Collection[24],Descriptor_Unit_ANZ_Commando,Unit_ANZ_Commando,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,E96CCA32DD90D802,COMMANDOS,3,33,125,null,ANZ,1975,3,6,Collection[5],Collection[5],Collection[5],10,1,78 : 19031 (True) - TUIResourceTexture,78 : 19032 (True) - TUIResourceTexture,Components,Collection[4],1,1950,null,null,null,null
16611,00000000-0000-0000-0000-00001a040000,Collection[24],Descriptor_Unit_ANZ_Diggers,Unit_ANZ_Diggers,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,F8ADB2ACEB90D802,DIGGERS,3,33,125,null,ANZ,1975,3,6,Collection[5],Collection[5],Collection[5],10,1,78 : 19038 (True) - TUIResourceTexture,78 : 19039 (True) - TUIResourceTexture,Components,Collection[5],1,1560,null,null,null,null
16612,00000000-0000-0000-0000-00001b040000,Collection[24],Descriptor_Unit_ANZ_MILAN,Unit_ANZ_MILAN,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,D8624D17892D0000,MILAN,3,33,125,null,ANZ,1985,2,6,Collection[5],Collection[5],Collection[5],10,1,78 : 19048 (True) - TUIResourceTexture,78 : 19049 (True) - TUIResourceTexture,Components,Collection[6],1,1170,null,null,null,null
16613,00000000-0000-0000-0000-00001c040000,Collection[24],Descriptor_Unit_ANZ_MRAAW,Unit_ANZ_MRAAW,True,null,-0.15,89 : 18623 (True) - TAmmunition,1,96,E1B27017892D0000,MRAAW,3,33,125,null,ANZ,1975,2,6,Collection[5],Collection[5],Collection[5],10,1,78 : 19056 (True) - TUIResourceTexture,78 : 19057 (True) - TUIResourceTexture,Components,Collection[6],1,1560,null,null,null,null
