[ID],DescriptorId,Modules,_ShortDatabaseName,ClassNameForDebug,StickToGround,HitRollSizeModifier,NameInMenuToken,Category,TypeForAcknow,MotherCountry,MaxPacks,Factory,ProductionPrice,MaxDeployableAmount,ShowInMenu,TextureForInterface,TextureMotherCountryForInterface,UnitTypeTokens,Nationalite,Key,WorldIndex,UnitMovingType
18569,00000000-0000-0000-0100-0000ef030000,Collection[23],Descriptor_Building_FOB_NK,Building_FOB_NK,True,10,4C06010000000000,8,3,NK,2,3,Collection[5],Collection[5],Collection[5],78 : 30888 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_URSS,Collection[6],1,null,null,null
18570,00000000-0000-0000-0100-0000f0030000,Collection[23],Descriptor_Building_FOB_NOR,Building_FOB_NOR,True,10,4C06010000000000,8,3,NOR,2,3,Collection[5],Collection[5],Collection[5],78 : 30892 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_ISR,Collection[6],null,null,null,null
18571,00000000-0000-0000-0100-0000f1030000,Collection[23],Descriptor_Building_FOB_OTAN,Building_FOB_OTAN,True,10,4C06010000000000,8,3,US,2,3,Collection[5],Collection[5],Collection[5],78 : 30896 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_POL,Collection[6],null,101,null,null
18572,00000000-0000-0000-0100-0000f2030000,Collection[23],Descriptor_Building_FOB_POL,Building_FOB_POL,True,10,4C06010000000000,8,3,POL,2,3,Collection[5],Collection[5],Collection[5],78 : 30900 (True) - TUIResourceTexture,Zoom123,Collection[6],1,null,null,null
18573,00000000-0000-0000-0100-0000f3030000,Collection[23],Descriptor_Building_FOB_RDA,Building_FOB_RDA,True,10,4C06010000000000,8,3,RDA,2,3,Collection[5],Collection[5],Collection[5],78 : 30904 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_CAN,Collection[6],1,null,null,null
18574,00000000-0000-0000-0100-0000f4030000,Collection[23],Descriptor_Building_FOB_RFA,Building_FOB_RFA,True,10,4C06010000000000,8,3,RFA,2,3,Collection[5],Collection[5],Collection[5],78 : 30908 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_UK,Collection[6],null,null,null,null
18575,00000000-0000-0000-0100-0000f5030000,Collection[23],Descriptor_Building_FOB_ROK,Building_FOB_ROK,True,10,4C06010000000000,8,3,ROK,2,3,Collection[5],Collection[5],Collection[5],78 : 30912 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_NK,Collection[6],null,null,null,null
18576,00000000-0000-0000-0100-0000f6030000,Collection[23],Descriptor_Building_FOB_SWE,Building_FOB_SWE,True,10,4C06010000000000,8,3,SWE,2,3,Collection[5],Collection[5],Collection[5],78 : 30916 (True) - TUIResourceTexture,TextureType_TextureAnimationUnitIcone_Asynchrone,Collection[6],null,null,null,null
18577,00000000-0000-0000-0100-0000f7030000,Collection[23],Descriptor_Building_FOB_UK,Building_FOB_UK,True,10,4C06010000000000,8,3,UK,2,3,Collection[5],Collection[5],Collection[5],78 : 30920 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_TCH,Collection[6],null,null,null,null
18578,00000000-0000-0000-0100-0000f8030000,Collection[23],Descriptor_Building_FOB_Varsovie,Building_FOB_Varsovie,True,10,4C06010000000000,8,3,URSS,2,3,Collection[5],Collection[5],Collection[5],78 : 30924 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[6],1,null,null,null
18579,00000000-0007-0000-0100-0000e9030000,Collection[23],Descriptor_Building_FOB_YUG,Building_FOB_YUG,True,10,4C06010000000000,8,3,YUG,2,3,Collection[5],Collection[5],Collection[5],78 : 30928 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_ANZ,Collection[6],1,null,null,null
30956,00000000-0000-0000-0500-0000eb030000,Collection[6],Descriptor_Fire_Incendie,Fire_Incendie,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,null
42723,00000000-0000-0000-0300-0000e8030000,Collection[8],Descriptor_Company_152mm_SpGH_Dana,Company_152mm_SpGH_Dana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
42758,00000000-0000-0000-0300-0000e9030000,Collection[8],Descriptor_Company_2K12_Kub,Company_2K12_Kub,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42765,00000000-0000-0000-0300-0000ea030000,Collection[8],Descriptor_Company_2K22M_Tunguska_M,Company_2K22M_Tunguska_M,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42769,00000000-0000-0000-0300-0000eb030000,Collection[8],Descriptor_Company_2K22_Tunguska,Company_2K22_Tunguska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42774,00000000-0000-0000-0300-0000ec030000,Collection[8],Descriptor_Company_2S15_Norov,Company_2S15_Norov,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42779,00000000-0000-0000-0300-0000ed030000,Collection[8],Descriptor_Company_2S19_MstaS,Company_2S19_MstaS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42785,00000000-0000-0000-0300-0000ee030000,Collection[8],Descriptor_Company_2S1_Gozdzik,Company_2S1_Gozdzik,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42789,00000000-0000-0000-0300-0000ef030000,Collection[8],Descriptor_Company_2S1_Gvozdika,Company_2S1_Gvozdika,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42793,00000000-0000-0000-0300-0000f0030000,Collection[8],Descriptor_Company_2S23_Nona_SVK,Company_2S23_Nona_SVK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
42798,00000000-0000-0000-0300-0000f1030000,Collection[8],Descriptor_Company_2S3M_Akatsiya,Company_2S3M_Akatsiya,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42803,00000000-0000-0000-0300-0000f2030000,Collection[8],Descriptor_Company_2S3_Akatsiya,Company_2S3_Akatsiya,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42808,00000000-0000-0000-0300-0000f3030000,Collection[8],Descriptor_Company_2S7M_Malka,Company_2S7M_Malka,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42813,00000000-0000-0000-0300-0000f4030000,Collection[8],Descriptor_Company_2S7_Pion,Company_2S7_Pion,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42817,00000000-0000-0000-0300-0000f5030000,Collection[8],Descriptor_Company_2S7_Piwonia,Company_2S7_Piwonia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42821,00000000-0000-0000-0300-0000f6030000,Collection[8],Descriptor_Company_2S9_Nona,Company_2S9_Nona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42827,00000000-0000-0000-0300-0000f7030000,Collection[9],Descriptor_Company_2eme_REP,Company_2eme_REP,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
42837,00000000-0000-0000-0300-0000f8030000,Collection[9],Descriptor_Company_2eme_REP_FAMAS,Company_2eme_REP_FAMAS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
42844,00000000-0000-0000-0300-0000f9030000,Collection[9],Descriptor_Company_75_Highlanders,Company_75_Highlanders,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
42850,00000000-0000-0000-0300-0000fa030000,Collection[9],Descriptor_Company_90_Motorstrelki,Company_90_Motorstrelki,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
42856,00000000-0000-0000-0300-0000fb030000,Collection[8],Descriptor_Company_9K33M3_Romb,Company_9K33M3_Romb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
42861,00000000-0000-0000-0300-0000fc030000,Collection[8],Descriptor_Company_9K33_OSA,Company_9K33_OSA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
42865,00000000-0000-0000-0300-0000fd030000,Collection[8],Descriptor_Company_9K33_OSA_AK,Company_9K33_OSA_AK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
42869,00000000-0000-0000-0300-0000fe030000,Collection[8],Descriptor_Company_9K33_OSA_AKM,Company_9K33_OSA_AKM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
42873,00000000-0000-0000-0300-0000ff030000,Collection[8],Descriptor_Company_9K35_Strela10,Company_9K35_Strela10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42878,00000000-0000-0000-0300-000000040000,Collection[8],Descriptor_Company_9K37_Buk,Company_9K37_Buk,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42883,00000000-0000-0000-0300-000001040000,Collection[8],Descriptor_Company_9K37_Buk_M1,Company_9K37_Buk_M1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42889,00000000-0000-0000-0300-000002040000,Collection[8],Descriptor_Company_AML_60_20_Serval,Company_AML_60_20_Serval,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
42895,00000000-0003-0000-0300-0000e8030000,Collection[8],Descriptor_Company_AMOS_SWE,Company_AMOS_SWE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42899,00000000-0004-0000-0300-0000e8030000,Collection[8],Descriptor_Company_AMX105_Mk61_NL,Company_AMX105_Mk61_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42903,00000000-0004-0000-0300-0000e9030000,Collection[8],Descriptor_Company_AMX13_FL12_NL,Company_AMX13_FL12_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42911,00000000-0004-0000-0300-0000ea030000,Collection[8],Descriptor_Company_AMX13_FL15_NL,Company_AMX13_FL15_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42916,00000000-0000-0000-0300-000003040000,Collection[9],Descriptor_Company_AMX13_VTT,Company_AMX13_VTT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42920,00000000-0000-0000-0300-000004040000,Collection[8],Descriptor_Company_AMX_105_AU_50,Company_AMX_105_AU_50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42924,00000000-0000-0000-0300-000005040000,Collection[9],Descriptor_Company_AMX_10_P,Company_AMX_10_P,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42928,00000000-0000-0000-0300-000006040000,Collection[8],Descriptor_Company_AMX_10_P_HOT,Company_AMX_10_P_HOT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42932,00000000-0000-0000-0300-000007040000,Collection[8],Descriptor_Company_AMX_10_P_Milan,Company_AMX_10_P_Milan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
42937,00000000-0000-0000-0300-000008040000,Collection[8],Descriptor_Company_AMX_10_RC,Company_AMX_10_RC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
42942,00000000-0000-0000-0300-000009040000,Collection[8],Descriptor_Company_AMX_10_RC_Surblindage,Company_AMX_10_RC_Surblindage,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
42948,00000000-0000-0000-0300-00000a040000,Collection[8],Descriptor_Company_AMX_13_90,Company_AMX_13_90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42953,00000000-0000-0000-0300-00000b040000,Collection[8],Descriptor_Company_AMX_13_DCA,Company_AMX_13_DCA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42957,00000000-0000-0000-0300-00000c040000,Collection[8],Descriptor_Company_AMX_13_Harpon,Company_AMX_13_Harpon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42962,00000000-0000-0000-0300-00000d040000,Collection[8],Descriptor_Company_AMX_30B,Company_AMX_30B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42968,00000000-0000-0000-0300-00000e040000,Collection[8],Descriptor_Company_AMX_30B2,Company_AMX_30B2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42974,00000000-0000-0000-0300-00000f040000,Collection[8],Descriptor_Company_AMX_30B_valorise,Company_AMX_30B_valorise,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42979,00000000-0000-0000-0300-000010040000,Collection[8],Descriptor_Company_AMX_30Brennus,Company_AMX_30Brennus,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42985,00000000-0000-0000-0300-000011040000,Collection[8],Descriptor_Company_AMX_30_ROLAND,Company_AMX_30_ROLAND,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42990,00000000-0000-0000-0300-000012040000,Collection[8],Descriptor_Company_AMX_30_ROLAND_2,Company_AMX_30_ROLAND_2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
42994,00000000-0000-0000-0300-000013040000,Collection[8],Descriptor_Company_AMX_32,Company_AMX_32,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43000,00000000-0000-0000-0300-000014040000,Collection[8],Descriptor_Company_AMX_40,Company_AMX_40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43006,00000000-0000-0000-0300-000015040000,Collection[8],Descriptor_Company_AMX_AuF1,Company_AMX_AuF1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43012,00000000-0004-0000-0300-0000eb030000,Collection[8],Descriptor_Company_AMX_PRAT_NL,Company_AMX_PRAT_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43016,00000000-0004-0000-0300-0000ec030000,Collection[9],Descriptor_Company_AMX_PRI_NL,Company_AMX_PRI_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43020,00000000-0004-0000-0300-0000ed030000,Collection[8],Descriptor_Company_AMX_PRVR_NL,Company_AMX_PRVR_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
43023,00000000-0000-0000-0300-000016040000,Collection[9],Descriptor_Company_ANZ_90_Commando,Company_ANZ_90_Commando,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43029,00000000-0000-0000-0300-000017040000,Collection[9],Descriptor_Company_ANZ_90_Diggers,Company_ANZ_90_Diggers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43035,00000000-0000-0000-0300-000018040000,Collection[9],Descriptor_Company_ANZ_CMD_Squad,Company_ANZ_CMD_Squad,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43041,00000000-0000-0000-0300-000019040000,Collection[9],Descriptor_Company_ANZ_Commando,Company_ANZ_Commando,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43047,00000000-0000-0000-0300-00001a040000,Collection[9],Descriptor_Company_ANZ_Diggers,Company_ANZ_Diggers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43053,00000000-0000-0000-0300-00001b040000,Collection[9],Descriptor_Company_ANZ_MILAN,Company_ANZ_MILAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43059,00000000-0000-0000-0300-00001c040000,Collection[9],Descriptor_Company_ANZ_MRAAW,Company_ANZ_MRAAW,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43065,00000000-0000-0000-0300-00001d040000,Collection[9],Descriptor_Company_ANZ_NZSAS,Company_ANZ_NZSAS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43071,00000000-0000-0000-0300-00001e040000,Collection[9],Descriptor_Company_ANZ_Pioniers,Company_ANZ_Pioniers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43077,00000000-0000-0000-0300-00001f040000,Collection[9],Descriptor_Company_ANZ_RBS70,Company_ANZ_RBS70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43083,00000000-0000-0000-0300-000020040000,Collection[9],Descriptor_Company_ANZ_Redeye,Company_ANZ_Redeye,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43089,00000000-0000-0000-0300-000021040000,Collection[9],Descriptor_Company_ANZ_SASR,Company_ANZ_SASR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43095,00000000-0000-0000-0300-000022040000,Collection[9],Descriptor_Company_ANZ_Scouts,Company_ANZ_Scouts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43101,00000000-0000-0000-0300-000023040000,Collection[8],Descriptor_Company_AS90_Braveheart_UK,Company_AS90_Braveheart_UK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43106,00000000-0000-0000-0300-000024040000,Collection[8],Descriptor_Company_ASLAV25_ANZ,Company_ASLAV25_ANZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43111,00000000-0000-0000-0300-000025040000,Collection[8],Descriptor_Company_ASLAV25_FSV_ANZ,Company_ASLAV25_FSV_ANZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43116,00000000-0000-0000-0300-000026040000,Collection[8],Descriptor_Company_ASLAV25_TOW_ANZ,Company_ASLAV25_TOW_ANZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43121,00000000-0000-0000-0300-000027040000,Collection[8],Descriptor_Company_ASLAV_C,Company_ASLAV_C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43126,00000000-0000-0000-0300-000028040000,Collection[9],Descriptor_Company_ASLAV_PC_ANZ,Company_ASLAV_PC_ANZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43130,00000000-0000-0000-0300-000029040000,Collection[8],Descriptor_Company_ASLAV_S_ANZ,Company_ASLAV_S_ANZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43135,00000000-0000-0000-0300-00002a040000,Collection[8],Descriptor_Company_ASU_85,Company_ASU_85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43140,00000000-0000-0000-0300-00002b040000,Collection[8],Descriptor_Company_ASU_85M,Company_ASU_85M,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43145,00000000-0000-0000-0300-00002c040000,Collection[9],Descriptor_Company_ATGM_Milan_F1,Company_ATGM_Milan_F1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43151,00000000-0000-0000-0300-00002d040000,Collection[9],Descriptor_Company_ATGM_Milan_F2,Company_ATGM_Milan_F2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43157,00000000-0000-0000-0300-00002e040000,Collection[9],Descriptor_Company_ATGM_Milan_F2A,Company_ATGM_Milan_F2A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43163,00000000-0000-0000-0300-00002f040000,Collection[9],Descriptor_Company_ATGM_Dragon,Company_ATGM_Dragon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43169,00000000-0000-0000-0300-000030040000,Collection[9],Descriptor_Company_ATGM_Dragon_II,Company_ATGM_Dragon_II,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43175,00000000-0000-0000-0300-000031040000,Collection[8],Descriptor_Company_ATS100,Company_ATS100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43179,00000000-0000-0000-0300-000032040000,Collection[8],Descriptor_Company_AVGP_Cougar,Company_AVGP_Cougar,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43183,00000000-0000-0000-0300-000033040000,Collection[8],Descriptor_Company_AVGP_Cougar_Reco,Company_AVGP_Cougar_Reco,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43187,00000000-0000-0000-0300-000034040000,Collection[9],Descriptor_Company_AVGP_Grizzly,Company_AVGP_Grizzly,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43191,00000000-0000-0000-0300-000035040000,Collection[8],Descriptor_Company_AVGP_Grizzly_HQ,Company_AVGP_Grizzly_HQ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43195,00000000-0005-0000-0300-0000e8030000,Collection[9],Descriptor_Company_Achzarit,Company_Achzarit,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43202,00000000-0005-0000-0300-0000e9030000,Collection[8],Descriptor_Company_Achzarit_Pikud,Company_Achzarit_Pikud,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
43205,00000000-0000-0000-0300-000036040000,Collection[8],Descriptor_Company_Alvis_Stalwart,Company_Alvis_Stalwart,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43208,00000000-0000-0000-0300-000037040000,Collection[9],Descriptor_Company_Alvis_Stalwart_ANZ,Company_Alvis_Stalwart_ANZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43211,00000000-0000-0000-0300-000038040000,Collection[9],Descriptor_Company_Alvis_Stalwart_UK,Company_Alvis_Stalwart_UK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43214,00000000-0000-0000-0300-000039040000,Collection[8],Descriptor_Company_Amfibiebil_101,Company_Amfibiebil_101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43217,00000000-0003-0000-0300-0000e9030000,Collection[9],Descriptor_Company_Amfibiebil_TRANS,Company_Amfibiebil_TRANS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
43220,00000000-0000-0000-0300-00003a040000,Collection[9],Descriptor_Company_Assault_Engineers,Company_Assault_Engineers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
43226,00000000-0000-0000-0300-00003b040000,Collection[8],Descriptor_Company_AufkPz_BRM1,Company_AufkPz_BRM1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
43231,00000000-0000-0000-0300-00003c040000,Collection[8],Descriptor_Company_AufklFz_UAZ,Company_AufklFz_UAZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43234,00000000-0000-0000-0300-00003d040000,Collection[8],Descriptor_Company_AufklFz_UAZ_KPV,Company_AufklFz_UAZ_KPV,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43238,00000000-0001-0000-0300-0000e8030000,Collection[8],Descriptor_Company_BAL_SSM,Company_BAL_SSM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43243,00000000-0000-0000-0300-00003e040000,Collection[8],Descriptor_Company_BJ212_type56_CHI,Company_BJ212_type56_CHI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43247,00000000-0000-0000-0300-00003f040000,Collection[8],Descriptor_Company_BM21_GRAD,Company_BM21_GRAD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43251,00000000-0001-0000-0300-0000e9030000,Collection[8],Descriptor_Company_BM27_RDA,Company_BM27_RDA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43255,00000000-0000-0000-0300-000040040000,Collection[8],Descriptor_Company_BM27_Uragan,Company_BM27_Uragan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43259,00000000-0000-0000-0300-000041040000,Collection[8],Descriptor_Company_BM30_Smerch,Company_BM30_Smerch,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
43263,00000000-0000-0000-0300-000042040000,Collection[8],Descriptor_Company_BMD1K_URSS,Company_BMD1K_URSS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
43267,00000000-0000-0000-0300-000043040000,Collection[9],Descriptor_Company_BMD1P_URSS,Company_BMD1P_URSS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
43271,00000000-0000-0000-0300-000044040000,Collection[9],Descriptor_Company_BMD1_URSS,Company_BMD1_URSS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
43275,00000000-0000-0000-0300-000045040000,Collection[8],Descriptor_Company_BMD2K_URSS,Company_BMD2K_URSS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
43279,00000000-0000-0000-0300-000046040000,Collection[9],Descriptor_Company_BMD2_URSS,Company_BMD2_URSS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
