[ID],ControllerName,Categories,SuppressDamageRatioIfTransporterKilled,TransportListAvailableForSpawn,TransportedTexture
19964,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
19971,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
20010,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
20033,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
20087,TransportableController,Collection[2],0.75,Collection[3],78 : 31083 (True) - TUIResourceTexture
20101,TransportableController,Collection[2],0.75,Collection[5],78 : 31091 (True) - TUIResourceTexture
20108,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
20115,TransportableController,Collection[2],0.75,Collection[4],78 : 31414 (True) - TUIResourceTexture
20122,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
20129,TransportableController,Collection[2],0.75,Collection[2],78 : 31402 (True) - TUIResourceTexture
20136,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
20143,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
20163,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
20170,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
20178,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
20185,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
20192,TransportableController,Collection[2],0.75,Collection[2],78 : 31414 (True) - TUIResourceTexture
20199,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
20206,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
20378,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
20385,TransportableController,Collection[2],0.75,Collection[4],78 : 31402 (True) - TUIResourceTexture
20392,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
20399,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
20488,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
20592,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
20604,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
20611,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
20618,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
20636,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
20643,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
20681,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
20693,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
20700,TransportableController,Collection[1],0.75,Collection[1],78 : 31339 (True) - TUIResourceTexture
20708,TransportableController,Collection[1],0.75,null,78 : 31339 (True) - TUIResourceTexture
20714,TransportableController,Collection[2],0.75,Collection[2],78 : 31414 (True) - TUIResourceTexture
20721,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
20728,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
20735,TransportableController,Collection[2],0.75,Collection[4],78 : 31414 (True) - TUIResourceTexture
20742,TransportableController,Collection[2],0.75,Collection[5],78 : 31402 (True) - TUIResourceTexture
20749,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
20896,TransportableController,Collection[2],0.75,Collection[4],78 : 31373 (True) - TUIResourceTexture
20903,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
20910,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
20917,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
20930,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
20968,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
20985,TransportableController,Collection[2],0.75,Collection[2],78 : 31402 (True) - TUIResourceTexture
21040,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
21070,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
21093,TransportableController,Collection[2],0.75,Collection[4],78 : 31402 (True) - TUIResourceTexture
21106,TransportableController,Collection[2],0.75,Collection[3],78 : 31083 (True) - TUIResourceTexture
21113,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
21120,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
21127,TransportableController,Collection[2],0.75,Collection[4],78 : 31394 (True) - TUIResourceTexture
21134,TransportableController,Collection[2],0.75,Collection[5],78 : 31091 (True) - TUIResourceTexture
21151,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
21158,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
21165,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
21172,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
21179,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
21186,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
21193,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
21240,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
21269,TransportableController,Collection[2],0.75,Collection[1],78 : 31402 (True) - TUIResourceTexture
21276,TransportableController,Collection[2],0.75,Collection[5],78 : 31069 (True) - TUIResourceTexture
21283,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
21290,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
21297,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
21322,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
21347,TransportableController,Collection[2],0.75,Collection[5],78 : 31402 (True) - TUIResourceTexture
21421,TransportableController,Collection[2],0.75,Collection[1],78 : 31380 (True) - TUIResourceTexture
21456,TransportableController,Collection[2],0.75,Collection[4],78 : 31414 (True) - TUIResourceTexture
21468,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
21484,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
21491,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
21506,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
21513,TransportableController,Collection[2],0.75,Collection[5],78 : 31380 (True) - TUIResourceTexture
21520,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
21527,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
21534,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
21541,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
21554,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
21567,TransportableController,Collection[2],0.75,Collection[2],78 : 31083 (True) - TUIResourceTexture
21580,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
21593,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
21614,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
21690,TransportableController,Collection[2],0.75,Collection[3],78 : 31083 (True) - TUIResourceTexture
21819,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
21831,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
21861,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
21869,TransportableController,Collection[2],0.75,Collection[4],78 : 31414 (True) - TUIResourceTexture
21876,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
21883,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
21896,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
21909,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
21967,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
22011,TransportableController,Collection[2],0.75,Collection[2],78 : 31402 (True) - TUIResourceTexture
22018,TransportableController,Collection[2],0.75,Collection[5],78 : 31402 (True) - TUIResourceTexture
22093,TransportableController,Collection[2],0.75,Collection[4],78 : 31402 (True) - TUIResourceTexture
22182,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
22195,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
22202,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23358,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
23447,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
23459,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
23514,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
23521,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23566,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
23573,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
23586,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23593,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23600,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23607,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
23630,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
23637,TransportableController,Collection[2],0.75,Collection[4],78 : 31414 (True) - TUIResourceTexture
23644,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
23651,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
23658,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
23672,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23685,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
23692,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
23699,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
23706,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
23720,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
23727,TransportableController,Collection[2],0.75,Collection[3],78 : 31083 (True) - TUIResourceTexture
23740,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
23782,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
23796,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
23808,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
23827,TransportableController,Collection[2],0.75,Collection[5],78 : 31091 (True) - TUIResourceTexture
23834,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
23933,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
23960,TransportableController,Collection[2],0.75,Collection[3],78 : 31373 (True) - TUIResourceTexture
24000,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
24007,TransportableController,Collection[2],0.75,Collection[4],78 : 31373 (True) - TUIResourceTexture
24069,TransportableController,Collection[2],0.75,Collection[4],78 : 31373 (True) - TUIResourceTexture
24117,TransportableController,Collection[2],0.75,Collection[4],78 : 31402 (True) - TUIResourceTexture
24136,TransportableController,Collection[2],0.75,Collection[2],78 : 31414 (True) - TUIResourceTexture
24149,TransportableController,Collection[2],0.75,Collection[5],78 : 31380 (True) - TUIResourceTexture
24166,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
24173,TransportableController,Collection[2],0.75,Collection[5],78 : 31091 (True) - TUIResourceTexture
24180,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
24193,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
24206,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
24219,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
24226,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
24270,TransportableController,Collection[2],0.75,Collection[4],78 : 31394 (True) - TUIResourceTexture
24295,TransportableController,Collection[2],0.75,Collection[5],78 : 31373 (True) - TUIResourceTexture
24374,TransportableController,Collection[2],0.75,Collection[5],78 : 31373 (True) - TUIResourceTexture
24381,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
24388,TransportableController,Collection[2],0.75,Collection[4],78 : 31402 (True) - TUIResourceTexture
24401,TransportableController,Collection[2],0.75,Collection[5],78 : 31402 (True) - TUIResourceTexture
24408,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
24435,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
24442,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
24487,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
24494,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
24501,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
24508,TransportableController,Collection[2],0.75,Collection[4],78 : 31083 (True) - TUIResourceTexture
24515,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
24522,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
24545,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
24558,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
24571,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
24578,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
24585,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
24598,TransportableController,Collection[2],0.75,Collection[4],78 : 31414 (True) - TUIResourceTexture
24655,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
24662,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
24690,TransportableController,Collection[2],0.75,Collection[5],78 : 31380 (True) - TUIResourceTexture
24697,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
24709,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
24716,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
24723,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
24744,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
24838,TransportableController,Collection[2],0.75,Collection[2],78 : 31414 (True) - TUIResourceTexture
24850,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
24917,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
25034,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
25055,TransportableController,Collection[2],0.75,Collection[4],78 : 31394 (True) - TUIResourceTexture
25062,TransportableController,Collection[2],0.75,Collection[5],78 : 31394 (True) - TUIResourceTexture
25069,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
25076,TransportableController,Collection[2],0.75,Collection[4],78 : 31394 (True) - TUIResourceTexture
25094,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
25112,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
25119,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
25126,TransportableController,Collection[2],0.75,Collection[3],78 : 31083 (True) - TUIResourceTexture
25154,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
25279,TransportableController,Collection[2],0.75,Collection[5],78 : 31414 (True) - TUIResourceTexture
25286,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
25293,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
25309,TransportableController,Collection[2],0.75,Collection[5],78 : 31069 (True) - TUIResourceTexture
25327,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
25361,TransportableController,Collection[2],0.75,Collection[5],78 : 31380 (True) - TUIResourceTexture
25368,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
25375,TransportableController,Collection[2],0.75,Collection[4],78 : 31394 (True) - TUIResourceTexture
25382,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
25447,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
25454,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
25467,TransportableController,Collection[2],0.75,Collection[4],78 : 31380 (True) - TUIResourceTexture
25967,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
25984,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
26392,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
26399,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
26469,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
26482,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
26489,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
26514,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
26521,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
26528,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
26535,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
26542,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
26561,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
26580,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
26593,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
26600,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
26787,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
26800,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
26848,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
27049,TransportableController,Collection[2],0.75,Collection[1],78 : 31091 (True) - TUIResourceTexture
27084,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
102855,TransportableController,Collection[1],0.75,null,78 : 102863 (True) - TUIResourceTexture
