[ID],ControllerName,UnitType,DetectionTBA,PorteeVision,OpticalStrength,OpticalStrengthAltitude,SpecializedOpticalStrengths,SpecializedDetections,PorteeVisionTBA,OpticalStrengthAntiradar,_ShortDatabaseName
39314,ScannerConfigurationController,6,364000,364000,120,40,Collection[1],Collection[2],null,null,null
39324,ScannerConfigurationController,6,364000,260000,60,40,null,Collection[1],null,null,null
39366,ScannerConfigurationController,6,364000,364000,120,40,Collection[1],Collection[2],null,null,null
39376,ScannerConfigurationController,6,364000,364000,120,120,Collection[1],Collection[2],null,null,null
39400,ScannerConfigurationController,6,364000,364000,120,120,Collection[1],Collection[2],null,null,null
39408,ScannerConfigurationController,6,364000,364000,170,120,Collection[1],Collection[2],null,null,null
39434,ScannerConfigurationController,null,416000,260000,null,null,Collection[1],Collection[2],364000,null,null
39446,ScannerConfigurationController,null,416000,260000,60,80,Collection[1],Collection[2],364000,null,null
39463,ScannerConfigurationController,null,416000,260000,60,170,Collection[1],Collection[2],364000,null,null
39494,ScannerConfigurationController,null,416000,260000,120,120,Collection[1],Collection[2],364000,null,null
39521,ScannerConfigurationController,null,416000,260000,60,80,Collection[1],Collection[2],364000,300,null
39531,ScannerConfigurationController,null,416000,260000,80,80,Collection[1],Collection[2],364000,null,null
39540,ScannerConfigurationController,null,416000,260000,220,170,Collection[1],Collection[2],364000,null,null
39575,ScannerConfigurationController,null,416000,260000,60,80,Collection[1],Collection[2],364000,null,null
39589,ScannerConfigurationController,null,416000,260000,170,170,Collection[1],Collection[2],364000,null,null
39612,ScannerConfigurationController,null,416000,260000,60,80,Collection[1],Collection[2],364000,null,null
39774,ScannerConfigurationController,null,416000,260000,170,170,Collection[1],Collection[2],364000,null,null
39952,ScannerConfigurationController,null,416000,260000,80,170,Collection[1],Collection[2],364000,null,null
39960,ScannerConfigurationController,null,416000,260000,220,170,Collection[1],Collection[2],364000,300,null
40017,ScannerConfigurationController,null,416000,260000,60,80,Collection[1],Collection[2],364000,null,null
40558,ScannerConfigurationController,null,416000,260000,80,80,Collection[1],Collection[2],364000,null,null
40797,ScannerConfigurationController,4,364000,260000,null,150,Collection[1],Collection[2],364000,null,null
40850,ScannerConfigurationController,4,364000,338000,null,150,Collection[1],Collection[2],364000,500,null
40876,ScannerConfigurationController,4,364000,260000,null,150,Collection[1],Collection[2],364000,null,null
40909,ScannerConfigurationController,4,364000,260000,null,300,Collection[1],Collection[2],364000,null,null
40964,ScannerConfigurationController,4,364000,260000,null,450,Collection[1],Collection[2],364000,null,null
40973,ScannerConfigurationController,4,364000,260000,null,300,Collection[1],Collection[2],364000,null,null
41038,ScannerConfigurationController,4,364000,390000,null,150,Collection[1],Collection[2],364000,500,null
41047,ScannerConfigurationController,4,364000,416000,null,150,Collection[1],Collection[2],364000,500,null
41145,ScannerConfigurationController,4,364000,260000,null,900,Collection[1],Collection[2],364000,null,null
41253,ScannerConfigurationController,4,364000,260000,null,450,Collection[1],Collection[2],364000,null,null
41381,ScannerConfigurationController,4,364000,390000,null,300,Collection[1],Collection[2],364000,500,null
41438,ScannerConfigurationController,4,364000,338000,null,300,Collection[1],Collection[2],364000,500,null
41516,ScannerConfigurationController,4,364000,260000,null,450,Collection[1],Collection[2],364000,null,null
41670,ScannerConfigurationController,4,364000,416000,null,450,Collection[1],Collection[2],364000,500,null
41692,ScannerConfigurationController,4,364000,364000,null,150,Collection[1],Collection[2],364000,500,null
41790,ScannerConfigurationController,4,364000,260000,null,150,Collection[1],Collection[2],364000,null,null
42610,ScannerConfigurationController,null,null,null,null,null,null,null,null,null,null
102862,ScannerConfigurationController,1,624000,312000,null,null,Collection[1],Collection[2],null,null,null
103233,ScannerConfigurationController,null,null,null,null,null,null,null,null,null,ScannerConfigurationDescriptor
